"","Codice","Territorio","Variable","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2009","X2008","X2010"
"1","'010","Piemonte","ACCLAV",100.8384896,100.1986901,96.96767184,88.04478095,83.02288952,83.0533942,77.01913099,74.30358239,67.36024343,NA,NA,NA
"2","'020","Valle D'Aosta","ACCLAV",98.37798897,96.183835,98.04696327,101.125148,93.72290457,99.20748423,90.52458725,88.13722315,74.91083795,NA,NA,NA
"3","'030","Lombardia","ACCLAV",101.833695,103.1937372,97.34135515,90.36420877,86.49173355,82.82106052,78.38227623,74.94729314,68.51144185,NA,NA,NA
"4","'070","Liguria","ACCLAV",101.3527729,105.1915339,102.9700536,98.46184802,98.20754636,96.3242205,89.08168665,84.88930089,75.53958897,NA,NA,NA
"5","'040","Trentino Alto Adige","ACCLAV",99.32658786,100.2050107,100.1379177,92.90417336,95.84668327,92.30435311,89.95821344,89.66819841,81.83121491,NA,NA,NA
"6","'021","Bolzano - Bozen","ACCLAV",101.1786557,101.6256197,102.5061587,94.62330728,97.60287134,99.62314447,96.66544877,94.98909461,87.409951,NA,NA,NA
"7","'022","Trento","ACCLAV",97.37335429,98.7114926,97.54883506,90.97207791,93.84327367,84.7811244,83.02338362,84.13625224,76.08769172,NA,NA,NA
"8","'050","Veneto","ACCLAV",98.57386066,94.7611103,91.88875655,86.69149755,83.06424409,78.78334639,72.65978649,70.52038306,65.21299543,NA,NA,NA
"9","'060","Friuli Venezia Giulia","ACCLAV",101.889955,102.67534,96.13971455,93.01101442,89.1546049,85.2748182,80.17244673,78.42287837,71.52568653,NA,NA,NA
"10","'080","Emilia Romagna","ACCLAV",103.0842054,102.8808026,98.87002372,93.45950872,89.47890737,88.4034193,84.31957826,81.92520116,75.16183812,NA,NA,NA
"11","'090","Toscana","ACCLAV",100.1333027,100.4942195,95.05919904,91.03653037,86.82213573,84.77098489,79.35568705,76.3008122,69.97449206,NA,NA,NA
"12","'100","Umbria","ACCLAV",98.62371708,97.07602366,94.83784109,91.81780683,87.737633,85.88871117,79.77386978,74.89384104,65.26642792,NA,NA,NA
