Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007
'010;Piemonte;IMP;18821936,31;22069672,23;21536369,84;21135449,02;21591001,18;22923837,17;23507082,83;26722115,84;29258601,05
'020;Valle D'Aosta;IMP;230641,478;345808,148;341722,696;271241,847;403612,848;421533,076;287303,314;400599,912;538804,203
'030;Lombardia;IMP;79327200,2;96161718,45;98630793,52;96477630,17;98256883,02;105813252,6;111241534,9;119103177,2;124178322,4
'070;Liguria;IMP;3943754,198;6045937,425;6525215,652;6588705,227;7311183,132;7330753,608;8412436,663;9257371,692;9722944,212
'040;Trentino Alto Adige;IMP;3625238,82;4093863,064;4286530,365;4551831,108;4611011,978;4740200,037;4903218,907;5335203,29;5865956,451
'021;Bolzano - Bozen;IMP;2265401,104;2553301,734;2696654,071;2934060,592;2951758,519;2982334,36;3035075,641;3250316,027;3676248,349
'022;Trento;IMP;1359837,716;1540561,33;1589876,294;1617770,516;1659253,459;1757865,677;1868143,266;2084887,263;2189708,102
'050;Veneto;IMP;23043650,79;28281545,82;29186392,57;30224079,02;29394090,55;31471510,82;32729518;37011976,88;39844129,98
'060;Friuli Venezia Giulia;IMP;3705995,726;4794216,811;4911947,99;4589294,957;4487288,193;5002619,042;5235649;5626781,296;6670728,756
'080;Emilia Romagna;IMP;14839791,03;17356916,31;17900754,33;19256199,05;19405463,49;20241537,09;22483320,37;25321036,07;28927405,13
'090;Toscana;IMP;12845120,63;16520504,82;17094516;15863980,85;15140987,76;15585404,18;16870777,45;18557629,87;19847157,22
'100;Umbria;IMP;1366144,72;1722625,761;1672263,969;1812480,185;1909110,81;2134154,94;2336200,819;2797186,39;2882388,316
'110;Marche;IMP;2611442,782;3502462,615;3831712,55;3846117,671;3906510,862;4006046,611;4867528,479;6499072,201;7364740,415
'120;Lazio;IMP;17290353,22;21488572,83;22146692,62;22537906,64;22030352,46;21880817,3;24769626,41;26551946,14;27832276,69
'130;Abruzzo;IMP;3285892,921;3967166,772;3886765,184;3926127,505;3769413,176;3702802,763;3673087,702;4037575,124;4252521,257
'140;Molise;IMP;313108,033;338075,683;464485,099;472564,675;301094,241;309526,438;357277,896;402490,796;432036,56
'150;Campania;IMP;6322603,08;7550362,759;7947718,422;7753625,661;7905806,079;8165497,164;8300424,869;9628733,086;10056947,7
'160;Puglia;IMP;3949814,326;4843128,203;5155768,076;4968706,812;4891434,647;6220890,089;6966487,812;7598484,469;8522325,38
'170;Basilicata;IMP;318810,156;430916,729;484867,547;403046,813;457656,095;569796,319;694039,594;1038388,795;1066610,608
'180;Calabria;IMP;383288,32;449759,818;510667,322;489192,497;550294,784;546116,203;612327,616;604697,679;745854,334
'190;Sicilia;IMP;8009296,56;13836274,61;13212961,2;11866201,48;12327115,38;13906853,71;18935721,06;15829622,34;16990470,96
'200;Sardegna;IMP;2627887,76;4492210,104;3807660,991;3925229,829;4097705,158;4616250,629;6280045,918;7232858,635;7719321,05
'001;Nord-Ovest;IMP;102323532,2;124623136,2;127034101,7;124473026,3;127562680,2;136489376,4;143448357,7;155483264,7;163698671,9
'002;Nord-Est;IMP;45214676,36;54526542;56285625,26;58621404,14;57897854,22;61455866,99;65351706,28;73294997,54;81308220,31
'003;Centro;IMP;34113061,35;43234166,03;44745185,14;44060485,34;42986961,89;43606423,03;48844133,16;54405834,6;57926562,65
'004;Sud;IMP;14573516,84;17579409,96;18450271,65;18013263,96;17875699,02;19514628,98;20603645,49;23310369,95;25076295,84
'005;Isole;IMP;10637184,32;18328484,72;17020622,2;15791431,31;16424820,54;18523104,34;25215766,98;23062480,98;24709792,01
'006;Italia;IMP;207015167,5;258506604,6;263756567,2;261225870,2;262997973,8;285634441,6;309292049;352464682,6;373339814
'010;Piemonte;EXP;26276154,89;29786771,4;30682284,33;29800854,5;30077731,47;31257383,66;32017150,02;34908875,41;37274540,73
'020;Valle D'Aosta;EXP;286394,334;395608,257;390985,013;367403,182;397962,612;474812,327;493316,157;589014,777;875526,316
'030;Lombardia;EXP;63232258,12;73455207,08;78391475,41;75718490,14;75994549,92;79202295,81;85315438,06;93257942,01;102083476,4
'070;Liguria;EXP;2819170,277;3478661,809;4041885,301;3643868,335;3661227,095;3600567,311;4232608,099;4209852,875;4724819,726
'040;Trentino Alto Adige;EXP;3877479,051;4324314,677;4451697,346;4488605,563;4707146,938;4976900,853;5207850,759;5688286,428;6183315,555
'021;Bolzano - Bozen;EXP;2036695,275;2227151,094;2278388,629;2391375,297;2434047,847;2558444,067;2594887,604;2876578,591;3160576,404
'022;Trento;EXP;1840783,776;2097163,583;2173308,717;2097230,266;2273099,091;2418456,786;2612963,155;2811707,837;3022739,151
'050;Veneto;EXP;32210304,88;37279678,38;39424889,52;39801175,5;38297604,28;40206811,16;40646614,5;46284308,25;50557235,37
'060;Friuli Venezia Giulia;EXP;7640270,108;8936379,575;9306610,644;9092794,377;8325734,513;9886081,042;9643352,627;11074875,44;12413280,83
'080;Emilia Romagna;EXP;26093835,07;29923150,52;31416235,34;31897883,43;31751031,26;34480558,75;37333073,69;41364416,91;46344222,65
'090;Toscana;EXP;17715222,54;21559838,99;22467011,12;21704699,4;20605997,45;21831316,75;21824964,04;24580041,52;26528460,75
'100;Umbria;EXP;1949057,656;2316684,684;2349710,696;2495785,987;2426863,713;2646379,874;2826562,052;3245994,855;3627756,592
'110;Marche;EXP;6368981,307;7524808,128;8378996,134;8533011,021;8832553,55;8957257,314;9524396,21;11555530,88;12458286,3
'120;Lazio;EXP;9710473,347;11921121,09;11109905,38;11821763,46;10583650,27;11157347,35;11076328,6;12234974,84;13477446,92
'130;Abruzzo;EXP;3896311,044;5116681,5;5423824,897;5500789,991;5386861,246;6062594,947;6305542,371;6545506,71;7322893,387
'140;Molise;EXP;483451,323;493528,999;535542,808;550419,195;522170,541;534507,074;607298,67;613816,931;629226,774
'150;Campania;EXP;6549769,636;7785097,85;8450139,012;8024898,206;7003313,529;7250266,337;7579182,021;8392047,821;9444637,027
'160;Puglia;EXP;5093982,26;5947633,576;6229031,595;5839304,267;5738229,772;6420446,214;6780961,858;6877873,368;7191534,741
'170;Basilicata;EXP;1120537,662;1093462,068;1183707,453;1521559,191;1526494,553;1265237,549;1099784,314;1721633,397;2100483,118
'180;Calabria;EXP;230679,432;310665,284;296250,032;290867,206;318004,765;350730,24;318754,972;328985,936;430694,298
'190;Sicilia;EXP;3502432,735;5479937,857;5312760,602;4963722,615;5118222,25;5547064,269;7266995,166;7947923,442;9661073,864
'200;Sardegna;EXP;1572383,09;2444210,131;2280186,08;2131879,475;2462719,756;2834166,235;3808136,906;4336143,408;4725208,295
'001;Nord-Ovest;EXP;92613977,62;107116248,5;113506630,1;109530616,2;110131471,1;114535059,1;122058512,3;132965685,1;144958363,2
'002;Nord-Est;EXP;69821889,12;80463523,15;84599432,85;85280458,87;83081516,99;89550351,8;92830891,57;104411887;115498054,4
'003;Centro;EXP;35743734,85;43322452,89;44305623,33;44555259,87;42449064,99;44592301,29;45252250,9;51616542,09;56091950,56
'004;Sud;EXP;17374731,36;20747069,28;22118495,8;21727838,06;20495074,41;21883782,36;22691524,21;24479864,16;27119469,35
'005;Isole;EXP;5074815,825;7924147,988;7592946,682;7095602,09;7580942,006;8381230,504;11075132,07;12284066,85;14386282,16
