Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
'010;Piemonte;DENS;166,3464302;166,1191332;165,8788267;166,5718202;168,10242;170,4627032;170,9178166;171,3545853;173,2614085;174,4937695;175,0314733
'020;Valle D'Aosta;DENS;36,42985631;36,54880354;36,63436728;37,05182579;37,39841385;37,6521494;37,99230213;38,24787634;38,60549638;38,93829446;39,18375602
'030;Lombardia;DENS;375,9811237;377,3272206;378,5634155;381,708978;387,4983657;393,6290796;397,0700002;400,0134519;404,0768896;408,2788273;411,7765308
'070;Liguria;DENS;292,8814397;291,426441;289,6558086;289,9903164;290,9636543;293,6999567;296,9877618;296,5716446;296,9302137;297,8970958;298,0671579
'040;Trentino Alto Adige;DENS;68,27834661;68,74498878;69,12434675;69,85430835;70,73394077;71,62680185;72,39957609;73,10326733;74,02662782;74,86370805;75,56945708
'021;Bolzano - Bozen;DENS;61,96610014;62,31035652;62,59579431;63,15446653;63,73514849;64,46921048;65,22367809;65,90246922;66,74531617;67,41383691;68,03235711
'022;Trento;DENS;75,80398557;76,41656866;76,90779616;77,84191787;79,07796162;80,16014436;80,95474391;81,68812128;82,70747072;83,74550903;84,55525302
'050;Veneto;DENS;243,8559519;245,1558317;246,3035622;248,7877231;252,3472391;255,4480307;257,5331067;259,4484981;262,6435891;265,535509;266,9970134
'060;Friuli Venezia Giulia;DENS;150,0045194;150,380969;150,6530915;151,6325863;152,4723258;153,303412;153,756431;154,306671;155,5103526;156,6397188;157,0396735
'080;Emilia Romagna;DENS;178,3340746;179,2849927;180,1071189;182,2199234;184,4923033;187,6974808;189,3336631;190,9480977;193,323519;196,1347522;197,9186918
'090;Toscana;DENS;151,8142177;152,0353781;152,1102488;152,9255864;155,0903277;156,4906358;157,4301618;158,2277347;159,9167765;161,2549802;162,225341
'100;Umbria;DENS;97,07085113;97,46725418;97,70483583;98,65256077;100,2859495;101,576861;102,6340935;103,2359118;104,5938761;105,7494998;106,5262227
'110;Marche;DENS;150,3715365;151,0190819;151,7550954;153,1454313;155,2318636;156,6711987;157,7057497;158,4576534;160,2076942;161,9113148;162,7466717
'120;Lazio;DENS;297,3799327;297,3249527;297,3715806;298,5503572;301,9928092;305,7543034;307,7736849;318,7118567;322,6402111;326,4516009;329,6517689
'130;Abruzzo;DENS;116,7940522;116,8107237;116,9397839;118,3051481;119,4769719;120,7197815;121,2805139;121,6976951;123,0161363;124,0091947;124,401568
'140;Molise;DENS;72,73667582;72,44120749;72,21547441;72,34568513;72,49215806;72,54984587;72,31413712;72,12642642;72,29858845;72,2888987;72,16135458
'150;Campania;DENS;420,5248552;419,9438372;419,5205386;421,2654081;423,8595492;425,9664288;426,1093991;426,0548011;427,6149649;427,7306361;428,5915481
'160;Puglia;DENS;208,3496193;207,8257261;207,5566204;207,8715666;208,7514658;210,1553888;210,3284964;210,2433115;210,5882353;210,7512695;210,9751058
'170;Basilicata;DENS;60,19530386;59,97410545;59,77902089;59,714286;59,73219565;59,68677117;59,4406385;59,16569031;59,13197213;59,09195056;58,9196577
'180;Calabria;DENS;134,4803691;133,864666;133,2592644;133,1113255;133,3729871;133,2357242;132,9139189;132,4919847;133,1322133;133,1986565;133,2398354
'190;Sicilia;DENS;194,2230337;193,6763851;193,1954937;193,3820795;194,5931377;194,9750305;195,1356986;195,122047;195,6207363;195,936394;196,1383666
'200;Sardegna;DENS;68,01284688;67,8622858;67,69839962;67,98034362;68,20687018;68,49562202;68,72912247;68,88545361;69,14174369;69,36523994;69,42348014
'001;Nord-Ovest;DENS;257,1933937;257,519174;257,7642963;259,4145303;262,580015;266,4094509;268,3526071;269,7315878;272,2943811;274,6740684;276,379796
'002;Nord-Est;DENS;170,0253446;170,8986751;171,6508497;173,4344658;175,6015353;177,9670998;179,3969804;180,7658911;182,9172945;185,1058543;186,3819146
'003;Centro;DENS;186,5648438;186,8083283;187,0062981;188,0950839;190,5470886;192,6351474;193,9263181;197,6818607;199,9942103;202,0968291;203,6750521
'004;Sud;DENS;190,6047704;190,1750842;189,8726496;190,4793244;191,4308607;192,3447453;192,3853059;192,2781684;192,990397;193,2085641;193,46243
'005;Isole;DENS;133,1686079;132,8073214;132,4795537;132,7227267;133,457547;133,7943856;133,9902842;134,0588567;134,4402926;134,7113699;134,8438163
'006;Italia;DENS;188,9023112;189,0288472;189,1415895;190,2231001;192,1053013;194,0105831;194,9707604;196,2304041;197,8498687;199,2628362;200,2426726
