Codice;Territorio;Variable;2004;2005;2006;2007;2008;2009
'010;Piemonte;UNEMFAM;6,468101526;5,415958433;5,292032181;5,545435827;5,831516593;5,785677117
'020;Valle D'Aosta;UNEMFAM;4,93473592;4,484391598;4,081191142;4,871672066;5,504608881;5,072566695
'030;Lombardia;UNEMFAM;4,537301804;4,039108385;3,917641896;4,121028764;4,321573296;4,255435086
'070;Liguria;UNEMFAM;7,081168212;6,696171814;6,982489346;7,069334309;6,591730755;6,603348087
'040;Trentino Alto Adige;UNEMFAM;3,905772462;3,506618002;3,21892462;3,733906406;4,101353089;3,76357001
'021;Bolzano - Bozen;UNEMFAM;2,949810274;2,610791903;2,361161113;3,18286334;3,38954999;3,067907737
'022;Trento;UNEMFAM;4,818546886;4,361932426;4,040662671;4,263897644;4,788153862;4,43288973
'050;Veneto;UNEMFAM;4,220555976;3,752815595;3,767954721;3,502041787;3,688078122;4,564022498
'060;Friuli Venezia Giulia;UNEMFAM;6,062477962;5,858576281;4,779681279;5,011187298;5,48341863;5,529176964
'080;Emilia Romagna;UNEMFAM;4,065811145;3,411331396;3,282771168;3,247171807;3,744163969;4,102542558
'090;Toscana;UNEMFAM;5,121657434;4,231754714;4,275875225;5,001054203;4,527277369;4,168358859
'100;Umbria;UNEMFAM;5,354360178;4,049853075;3,882964989;4,213110603;4,494732681;4,861216263
'110;Marche;UNEMFAM;4,429192301;3,374883991;3,230357393;4,082405354;4,523769456;4,610456021
'120;Lazio;UNEMFAM;5,762647878;5,326812594;5,237888779;5,315533196;5,697039651;5,949365464
'130;Abruzzo;UNEMFAM;5,364505018;4,46131091;4,577876871;5,812860247;5,64373382;6,513152415
'140;Molise;UNEMFAM;6,845991282;6,234768038;6,573138672;7,330365441;7,276546585;8,540466314
'150;Campania;UNEMFAM;10,5535237;9,405169613;10,50270568;12,88171746;14,53864975;15,7462555
'160;Puglia;UNEMFAM;10,60054183;8,518240558;8,497966491;9,748075194;10,47930359;11,80796532
'170;Basilicata;UNEMFAM;7,924179926;6,728781468;5,923152092;7,23704894;8,398632895;8,472445631
'180;Calabria;UNEMFAM;10,19397408;9,232735498;9,417332831;11,16539521;13,24440236;13,26336154
'190;Sicilia;UNEMFAM;12,91267707;11,25721315;11,56029126;13,40188793;13,68986808;13,77252895
'200;Sardegna;UNEMFAM;8,917573779;7,813530344;7,377619685;8,522856698;9,296293627;9,047622424
'001;Nord-Ovest;UNEMFAM;5,317385497;4,676879877;4,59090291;4,800580921;4,96174906;4,90373475
'002;Nord-Est;UNEMFAM;4,334846269;3,830183574;3,647019572;3,588053918;3,934738531;4,4210542
'003;Centro;UNEMFAM;5,353063224;4,626787474;4,566410475;4,975326887;5,09192331;5,142457739
'004;Sud;UNEMFAM;9,857586001;8,49349266;8,95190857;10,72772028;11,94769194;12,94417412
'005;Isole;UNEMFAM;11,87607051;10,36588183;10,47927509;12,13906756;12,55305454;12,55218529
'006;Italia;UNEMFAM;7,000615195;6,089128138;6,140429542;6,872617135;7,337550542;7,651037042
'010;Piemonte;UNEMLT;2,341066548;1,990536411;1,807003251;1,824451854;2,175042846;2,898602653
'020;Valle D'Aosta;UNEMLT;0,39382204;0,791968108;0,857395918;1,085927601;1,053699547;1,598983524
'030;Lombardia;UNEMLT;1,392588927;1,370751101;1,306296098;1,178313755;1,290075814;1,798938998
'070;Liguria;UNEMLT;2,500765099;2,162773756;1,981018195;1,524979837;1,888318275;2,275292036
'040;Trentino Alto Adige;UNEMLT;0,517827743;0,587054662;0,537058311;0,636912826;0,602978399;0,734418201
'021;Bolzano - Bozen;UNEMLT;0,326342039;0,389039108;0,404259919;0,593237273;0,441043163;0,617262215
'022;Trento;UNEMLT;0,713059304;0,789504906;0,674104464;0,681622567;0,768957842;0,854846545
'050;Veneto;UNEMLT;1,201274283;1,461976134;1,39303468;1,155971383;1,104688406;1,267602299
'060;Friuli Venezia Giulia;UNEMLT;1,362306177;1,279544768;1,320356292;1,13527846;1,447591273;1,512507437
'080;Emilia Romagna;UNEMLT;1,001585166;1,097246354;0,965159372;0,812429449;0,825850451;1,263325882
'090;Toscana;UNEMLT;1,841994773;1,728079789;1,920310238;1,650306561;1,70122002;1,975148794
'100;Umbria;UNEMLT;2,2906055;2,598276526;2,031170709;1,847312883;1,752973742;2,3367956
'110;Marche;UNEMLT;1,58885688;1,717276163;1,533139278;1,479902189;1,599782885;2,070360268
'120;Lazio;UNEMLT;4,002232207;3,946136874;3,856921799;3,234750442;3,293012313;4,24314397
'130;Abruzzo;UNEMLT;3,422409402;3,565128442;3,002230625;2,869606405;2,847984928;3,38094487
'140;Molise;UNEMLT;5,865371067;5,220562773;5,397891487;3,972471414;4,654203986;4,524080459
'150;Campania;UNEMLT;8,18942914;8,605363886;7,344556652;6,022307919;7,069482712;7,332456
'160;Puglia;UNEMLT;8,895056615;7,836530551;7,154536802;5,805703401;5,810776475;6,002182558
'170;Basilicata;UNEMLT;7,088577518;6,582507646;5,849699472;5,174799988;6,019024081;6,151715504
'180;Calabria;UNEMLT;7,988432016;8,438358444;7,097955683;6,177107167;6,112256357;5,855198377
'190;Sicilia;UNEMLT;10,03679006;9,414127411;7,756221801;7,541769298;7,68822058;8,100390494
'200;Sardegna;UNEMLT;6,94546783;6,926938898;5,56060694;4,566942788;5,937880935;5,9170678
'001;Nord-Ovest;UNEMLT;1,747020134;1,610158544;1,502469348;1,386562856;1,587167594;2,143587376
'002;Nord-Est;UNEMLT;1,080261779;1,225142278;1,145147562;0,974813017;0,987397936;1,242225368
'003;Centro;UNEMLT;2,844117569;2,817706708;2,770121989;2,384378305;2,438798715;3,081575533
'004;Sud;UNEMLT;7,775585931;7,661153133;6,679777039;5,550119669;5,988835392;6,170702314
'005;Isole;UNEMLT;9,159274321;8,715721648;7,13774302;6,695219776;7,183351282;7,474762428
'006;Italia;UNEMLT;3,838263033;3,727501711;3,286783122;2,847456563;3,043109992;3,431885605
'010;Piemonte;OCC;48,44432972;48,78495864;49,12727052;49,22062227;49,41367297;48,49768337
'020;Valle D'Aosta;OCC;52,87719819;51,91491246;52,172659;52,85078619;52,68502588;51,86110054
'030;Lombardia;OCC;52,21560338;51,96565406;52,53479623;52,57274526;52,68465893;51,59586694
'070;Liguria;OCC;43,50992214;44,03700547;44,87507749;45,76758588;45,85238464;45,49581458
'040;Trentino Alto Adige;OCC;54,95097546;54,46340276;54,73594443;54,87172871;55,29897294;55,10755649
'021;Bolzano - Bozen;OCC;57,41417145;57,11196778;57,52052131;57,30132767;57,92546551;57,75670219
'022;Trento;OCC;52,63588312;51,97790994;52,11915167;52,58186358;52,82118406;52,61026528
'050;Veneto;OCC;51,5130109;51,44051739;51,96397315;52,03125942;52,44015327;50,78626411
'060;Friuli Venezia Giulia;OCC;47,86428935;47,98110469;49,33810179;49,50259469;49,13854584;47,6260196
'080;Emilia Romagna;OCC;51,84971255;51,82099159;52,65854983;53,27005328;53,41521119;52,14934837
'090;Toscana;OCC;47,75472636;47,99199668;48,85070197;48,74696063;49,20342828;48,63657689
'100;Umbria;OCC;46,08245106;46,16657835;46,9931957;48,3076569;48,91159533;47,19467811
'110;Marche;OCC;48,69584238;48,29936316;48,92037315;49,15423686;48,94145969;48,31634141
'120;Lazio;OCC;46,73282083;46,41037559;46,89340253;47,26355156;47,35282571;46,70611182
'130;Abruzzo;OCC;43,35778109;43,96123549;44,22493909;44,28399534;45,18542168;42,74142583
'140;Molise;OCC;39,64652779;38,64059241;39,60732111;40,56137361;41,04759724;39,69628606
'150;Campania;OCC;37,4005355;36,37951835;36,31093323;35,92092343;34,92258734;33,38204428
'160;Puglia;OCC;36,59670862;35,88055962;36,73031092;37,39186762;37,34089958;35,83532008
'170;Basilicata;OCC;38,40759907;38,38127957;39,06271517;38,58011748;38,65113989;37,56035025
'180;Calabria;OCC;36,85490142;35,67801619;36,30116224;35,50247775;34,88221616;34,23110346
'190;Sicilia;OCC;34,67349073;35,18723244;35,85670995;35,39298545;35,01953788;34,52022157
'200;Sardegna;OCC;41,91026492;41,84109751;42,31242955;42,47116538;42,0929904;40,65333392
'001;Nord-Ovest;OCC;50,23598825;50,23373459;50,76624953;50,92028223;51,05437945;50,09784943
'002;Nord-Est;OCC;51,5270893;51,46011338;52,1766017;52,46992847;52,69736133;51,33564179
'003;Centro;OCC;47,28065465;47,16031339;47,80962287;48,06947117;48,27366122;47,57178029
'004;Sud;OCC;37,75073249;36,99552591;37,38278432;37,31151783;36,90835427;35,44522676
'005;Isole;OCC;36,51450558;36,88013761;37,50414201;37,20143755;36,82757514;36,08805805
'006;Italia;OCC;45,40966318;45,25044237;45,82700265;45,93584878;45,93108582;44,87022466
'010;Piemonte;UNEM;5,252606613;4,662093375;4,03290118;4,229229571;5,049791006;6,840912287
'020;Valle D'Aosta;UNEM;2,997983928;3,24318025;3,004572546;3,175686504;3,256012749;4,417509211
'030;Lombardia;UNEM;4,046115376;4,087729232;3,700773771;3,429618842;3,725809187;5,359779463
'070;Liguria;UNEM;5,76397606;5,753850408;4,767681692;4,820518366;5,365531372;5,699838964
'040;Trentino Alto Adige;UNEM;2,91746785;3,161444132;2,829224943;2,73827369;2,805863267;3,179445277
'021;Bolzano - Bozen;UNEM;2,652614976;2,754494421;2,591223499;2,578887388;2,359773925;2,857245804
'022;Trento;UNEM;3,187501796;3,577507752;3,074839229;2,901434085;3,263093342;3,510644309
'050;Veneto;UNEM;4,237752131;4,2395572;4,040505877;3,344282503;3,53603632;4,76202858
'060;Friuli Venezia Giulia;UNEM;3,920440827;4,117027807;3,521049241;3,414135518;4,279695247;5,27469171
'080;Emilia Romagna;UNEM;3,69679972;3,810572724;3,375254855;2,856330668;3,188483437;4,77381126
'090;Toscana;UNEM;5,198853311;5,25423787;4,820410912;4,297887493;5,032992563;5,766244513
'100;Umbria;UNEM;5,690865122;6,092914629;5,098231192;4,564538047;4,821579935;6,688241942
'110;Marche;UNEM;5,318376019;4,68342992;4,540212031;4,167728309;4,650159782;6,626705937
'120;Lazio;UNEM;7,940968326;7,720724131;7,546502016;6,381300838;7,506652467;8,49621848
'130;Abruzzo;UNEM;7,924023591;7,863279415;6,537109699;6,219366181;6,555175029;8,056694552
'140;Molise;UNEM;11,34319765;10,07621756;9,963913886;8,099021343;9,092193433;9,063630494
'150;Campania;UNEM;15,63595899;14,90488271;12,87908211;11,23084163;12,58411673;12,94877684
'160;Puglia;UNEM;15,47942662;14,62288209;12,77468039;11,16640155;11,5813127;12,6341677
'170;Basilicata;UNEM;12,84727893;12,25693442;10,52251934;9,545840432;11,0731173;11,22632596
'180;Calabria;UNEM;14,29161991;14,38432082;12,87542354;11,24134362;12,10992247;11,34427859
'190;Sicilia;UNEM;17,2412677;16,22299208;13,50123082;12,95568296;13,79059371;13,88236752
'200;Sardegna;UNEM;13,89544454;12,93181311;10,81970628;9,881904163;12,22250096;13,28095
'001;Nord-Ovest;UNEM;4,527457018;4,394628874;3,886062433;3,778016337;4,239951446;5,790163677
'002;Nord-Est;UNEM;3,879639095;3,966128126;3,62345902;3,109006763;3,412928124;4,674465796
'003;Centro;UNEM;6,525915339;6,380068535;6,061922955;5,276388335;6,126911584;7,235151803
'004;Sud;UNEM;14,3973801;13,77593818;11,99880159;10,51820793;11,39469191;11,9123152
'005;Isole;UNEM;16,29150826;15,29882475;12,74587702;12,08097448;13,33829185;13,71003217
'006;Italia;UNEM;8,045997247;7,723750166;6,785488689;6,090456574;6,741600067;7,788938517
'010;Piemonte;UNEM25;4,271873196;3,617934953;3,178683288;3,488414289;4,327882068;5,623241237
'020;Valle D'Aosta;UNEM25;2,551006248;2,764859006;2,572532236;2,566800638;2,64351095;3,535921245
'030;Lombardia;UNEM25;3,220978734;3,305992987;2,991966269;2,680316542;3,049635738;4,391587925
'070;Liguria;UNEM25;4,9168268;4,861449862;4,023267674;3,811828357;4,316698737;4,978400228
'040;Trentino Alto Adige;UNEM25;2,412711973;2,592692599;2,299076348;2,320847334;2,392238754;2,551910268
'021;Bolzano - Bozen;UNEM25;2,316850205;2,210454123;2,050092685;2,262749915;1,968474677;2,235964506
'022;Trento;UNEM25;2,507934859;2,97287047;2,548294543;2,378778349;2,817546395;2,869898321
'050;Veneto;UNEM25;3,583441789;3,463138459;3,336583943;2,920679491;2,962754767;4,010557915
'060;Friuli Venezia Giulia;UNEM25;3,327056288;3,644681181;2,944527972;2,647851718;3,631994788;4,425463157
'080;Emilia Romagna;UNEM25;3,089205842;3,309689814;2,869679228;2,339386997;2,667316372;3,909987765
'090;Toscana;UNEM25;4,36416413;4,446526522;4,065186439;3,662000786;4,398338579;5,01370241
'100;Umbria;UNEM25;4,852552003;4,962527967;4,291208891;3,887893352;4,084447741;5,728594964
'110;Marche;UNEM25;4,288336974;3,804730556;3,950977847;3,727668772;4,036260849;5,374885051
'120;Lazio;UNEM25;6,351078864;6,307623277;6,198290213;5,137562983;6,198295108;6,947498131
'130;Abruzzo;UNEM25;6,652779502;6,647595728;5,44452966;5,345142667;5,511425247;6,981940444
'140;Molise;UNEM25;9,556309481;8,239879507;8,476441612;6,732065623;7,389277677;7,705859145
'150;Campania;UNEM25;12,79648095;12,01249178;10,36109793;9,068662471;10,53372609;10,59268001
'160;Puglia;UNEM25;12,78826702;12,04896201;10,40453978;8,814334099;9,385737058;10,55800992
'170;Basilicata;UNEM25;10,66457899;10,04944804;8,622039358;7,730509485;9,072259127;9,132754701
'180;Calabria;UNEM25;11,48781249;11,36406437;10,75135418;9,495548035;10,13192331;9,675522536
'190;Sicilia;UNEM25;13,96655758;12,86964972;10,65964864;10,44891296;11,22006524;11,58291053
'200;Sardegna;UNEM25;11,29333037;10,77131977;8,919613882;7,835635645;10,05102046;10,83227957
'001;Nord-Ovest;UNEM25;3,665081452;3,535949574;3,138184971;3,009286771;3,518245546;4,778432609
'002;Nord-Est;UNEM25;3,262141548;3,34627193;3,023576799;2,613026958;2,867011802;3,883172634
'003;Centro;UNEM25;5,313645791;5,259214973;5,052675472;4,381281516;5,172176916;6,023907475
'004;Sud;UNEM25;11,79079992;11,16689629;9,765954774;8,524992536;9,425742657;9,902019828
'005;Isole;UNEM25;13,20447466;12,27753417;10,16391076;9,698781177;10,88018898;11,3656253
