Codice;Territorio;Variable;2002;2003;2005;2006;2007;2008;2009
'010;Piemonte;FAM4;3,1;2,8;2,7;3,1;3,1;3,1;3,1
'020;Valle D'Aosta;FAM4;2,9;3,3;2,9;2,4;2,6;2,8;3,1
'030;Lombardia;FAM4;4,7;5;4,6;4,4;4,4;4,3;4
'070;Liguria;FAM4;2,1;2,3;2,9;3,1;2,5;2,8;2,5
'040;Trentino Alto Adige;FAM4;6,3;7;7,8;7,4;7;6,7;6,4
'021;Bolzano - Bozen;FAM4;9,1;9,2;9,9;9,8;9,6;8,5;7,7
'022;Trento;FAM4;3,8;5;5,8;5,2;4,7;5,1;5,2
'050;Veneto;FAM4;7,3;7,2;6,8;6,2;5,4;5,6;5,8
'060;Friuli Venezia Giulia;FAM4;3,3;3,5;2,9;2,9;3,3;3,6;3,1
'080;Emilia Romagna;FAM4;3,7;3,5;4,4;4,8;4,6;4,1;4
'090;Toscana;FAM4;5,4;5,1;5;5,2;4,2;4,7;5,1
'100;Umbria;FAM4;8,7;7,3;5,5;6,4;6,7;5,7;5,6
'110;Marche;FAM4;6,8;6,4;6,1;6,8;6,6;5,6;6,2
'120;Lazio;FAM4;5;5,2;5,1;5,6;5,7;5;5
'130;Abruzzo;FAM4;7,8;8,1;7,8;8,3;7,5;6,4;6
'140;Molise;FAM4;7,6;6;6,8;8,2;7,2;6;6,5
'150;Campania;FAM4;14,9;13,7;13,1;13,5;12,9;11,9;11,6
'160;Puglia;FAM4;10,8;10,5;9,5;8,4;8,7;9,4;8,9
'170;Basilicata;FAM4;9,5;9,7;8,4;7,4;8,1;9,5;8
'180;Calabria;FAM4;10,7;10,6;10,2;10,2;9,1;7,6;8,2
'190;Sicilia;FAM4;9,9;9,7;8,5;8,2;7,3;7,7;8,8
'200;Sardegna;FAM4;8,6;9,4;10,4;9,1;8,2;7,8;7,1
'001;Nord-Ovest;FAM4;3,9;4;3,9;3,8;3,8;3,8;3,6
'002;Nord-Est;FAM4;5,3;5,3;5,5;5,4;5;4,9;4,8
'003;Centro;FAM4;5,6;5,5;5,2;5,7;5,4;5;5,2
'004;Sud;FAM4;12;11,4;10,7;10,6;10,2;9,8;9,5
'005;Isole;FAM4;9,6;9,7;8,9;8,4;7,5;7,7;8,4
'006;Italia;FAM4;6,9;6,8;6,5;6,5;6,2;5,9;5,9
'010;Piemonte;MAL;35,6;35,4;37,7;34,9;38,7;41;39,1
'020;Valle D'Aosta;MAL;33,9;39,2;30,2;35,2;38,2;40,9;38,3
'030;Lombardia;MAL;34,6;36,4;38,3;36;38,2;39;38,8
'070;Liguria;MAL;40,8;40,2;39,4;36,8;40,4;42,9;42,5
'040;Trentino Alto Adige;MAL;32;30,4;30,9;30,9;32,2;35,1;33,7
'021;Bolzano - Bozen;MAL;30,1;28;29,6;31,1;29,6;31,8;30,2
'022;Trento;MAL;33,8;32,7;32,1;30,7;34,7;38,2;37,1
'050;Veneto;MAL;36,4;38;38,3;38,1;37,6;40,3;39,2
'060;Friuli Venezia Giulia;MAL;37,1;36,7;37,2;37,7;36,7;40,6;40,2
'080;Emilia Romagna;MAL;40;39,8;41,6;37,5;44;42,8;43,1
'090;Toscana;MAL;38,1;38,2;37,1;37,5;43,5;40,5;40,4
'100;Umbria;MAL;39,6;41,2;40,7;41,6;40,1;45,2;43,1
'110;Marche;MAL;37,1;38,3;36,6;38,9;40,9;40,3;42,6
'120;Lazio;MAL;36;34,7;37,1;42;35,1;38,8;39,3
'130;Abruzzo;MAL;39,8;38,5;40,7;37,2;39,7;38,6;41,3
'140;Molise;MAL;33,5;37,5;36,6;38,8;38,4;39,6;40,9
'150;Campania;MAL;32;31,5;31,4;32,1;36,5;34,5;32,9
'160;Puglia;MAL;33,8;32,7;33,9;32,9;35,5;37,1;35,7
'170;Basilicata;MAL;38,7;36;36,7;39,7;42,9;43,3;41,3
'180;Calabria;MAL;42,5;37,4;40,9;40,2;38,9;41,6;41,7
'190;Sicilia;MAL;35,9;34;32,4;35,9;36,8;36;36,7
'200;Sardegna;MAL;39,9;37,9;37,3;38,1;43,6;42;40,5
'001;Nord-Ovest;MAL;35,5;36,5;38,2;35,8;38,5;40;39,3
'002;Nord-Est;MAL;37,5;37,9;38,7;37,2;39,4;40,8;40,3
'003;Centro;MAL;37,1;36,8;37,3;40,1;38,9;40;40,4
'004;Sud;MAL;35,1;33,6;34,7;34,4;37,2;37,1;36,3
'005;Isole;MAL;36,9;34,9;33,6;36,4;38,5;37,5;37,6
'006;Italia;MAL;36,2;35,9;36,7;36,6;38,4;39,2;38,8
