Codice;Territorio;Variable;2000;2001;2002;2003;2004
'010;Piemonte;INDFAT;109751215;107049637;112256431;113025556;123870562
'020;Valle D'Aosta;INDFAT;1495757;2585435;2223099;1758459;2347257
'030;Lombardia;INDFAT;279479418;294776823;326852782;292930979;316610688
'070;Liguria;INDFAT;18931587;15776518;15038823;16379311;18758556
'040;Trentino Alto Adige;INDFAT;14869835;18655984;16169546;16814620;19596507
'021;Bolzano - Bozen;INDFAT;7010511;6138570;6914494;8345415;9333333
'022;Trento;INDFAT;7859324;12517414;9255052;8469205;10263174
'050;Veneto;INDFAT;109220123;120920376;118221682;117345287;127582500
'060;Friuli Venezia Giulia;INDFAT;29138945;23641051;25246402;27008380;28843177
'080;Emilia Romagna;INDFAT;99789135;106678765;111193714;115287598;134574197
'090;Toscana;INDFAT;59738908;60232385;66618414;66459325;69102606
'100;Umbria;INDFAT;11146571;16003403;13936371;14630327;13811414
'110;Marche;INDFAT;26552536;28271266;31419138;30153549;34221165
'120;Lazio;INDFAT;124540612;95788610;95108874;71168427;141430537
'130;Abruzzo;INDFAT;17543920;20197978;18101525;48621771;21879708
'140;Molise;INDFAT;3930675;2470848;2571559;2626042;3346396
'150;Campania;INDFAT;38622838;37228257;40077056;40623338;38595590
'160;Puglia;INDFAT;27725347;28077645;33407834;29951079;33986108
'170;Basilicata;INDFAT;6348048;0;6308533;5981768;6517086
'180;Calabria;INDFAT;4017379;5525898;5684671;7036222;7167282
'190;Sicilia;INDFAT;24721540;56066595;36352397;29130155;27599225
'200;Sardegna;INDFAT;8928882;8586449;8950964;9585811;11614370
'001;Nord-Ovest;INDFAT;409657977;420188413;456371135;424094305;461587063
'002;Nord-Est;INDFAT;253018038;269896176;270831344;276455885;310596381
'003;Centro;INDFAT;221978627;200295664;207082797;182411628;258565722
'004;Sud;INDFAT;98188207;93500626;106151178;134840220;111492170
'005;Isole;INDFAT;33650422;64653044;45303361;38715966;39213595
'006;Italia;INDFAT;1016493271;1048533923;1085739815;1056518004;1181454931
'010;Piemonte;INDVAG;28314401;27472941;26697539;26898620;27498149
'020;Valle D'Aosta;INDVAG;563173;842820;440346;596546;692087
'030;Lombardia;INDVAG;75296310;75480781;77610931;76583172;77191211
'070;Liguria;INDVAG;5050048;4995534;4497432;4962948;5686734
'040;Trentino Alto Adige;INDVAG;5021121;5059333;5169250;5212711;5503846
'021;Bolzano - Bozen;INDVAG;2314091;2266265;2413407;2676948;2684452
