Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2006;2007
'010;Piemonte;IND;326506;324598;329250;329992;328826;330785;337324;343130
'020;Valle D'Aosta;IND;10993;11092;11302;11372;11396;11496;11831;12052
'030;Lombardia;IND;729483;743255;760939;768945;770863;781771;806694;817508
'070;Liguria;IND;125438;126036;127030;127496;126685;127030;130216;132212
'040;Trentino Alto Adige;IND;72796;74827;76499;77727;78555;79371;81753;82771
'021;Bolzano - Bozen;IND;37952;38813;39622;40342;40738;40928;41984;42379
'022;Trento;IND;34844;36014;36877;37385;37817;38443;39769;40392
'050;Veneto;IND;359068;367675;376478;381549;384443;388136;398816;405287
'060;Friuli Venezia Giulia;IND;83105;84753;86236;86873;86604;86998;88416;89162
'080;Emilia Romagna;IND;346290;356531;363127;365624;367112;371442;382215;386906
'090;Toscana;IND;304414;312878;318308;320360;320329;322393;329754;337002
'100;Umbria;IND;63038;64784;65613;65920;66032;66637;68936;70270
'110;Marche;IND;118054;121774;123994;124997;125838;127173;131278;133832
'120;Lazio;IND;357434;368199;376844;381565;382525;389872;409346;416118
'130;Abruzzo;IND;88713;90834;91998;92332;93173;94337;98397;100732
'140;Molise;IND;19241;19621;19884;19918;19879;20130;20909;21252
'150;Campania;IND;304161;311774;320620;326304;326888;329136;340714;346236
'160;Puglia;IND;224281;228683;233694;235957;236830;238716;245840;250143
'170;Basilicata;IND;33194;33428;34205;34405;34493;34759;35465;35750
'180;Calabria;IND;101978;103849;107103;109032;109050;109439;112065;112171
'190;Sicilia;IND;248973;256047;261856;263346;263577;264379;272561;273780
'200;Sardegna;IND;95478;97277;99602;101055;102287;103875;107478;108878
'001;Nord-Ovest;IND;1192420;1204981;1228521;1237805;1237770;1251082;1286065;1304902
'002;Nord-Est;IND;861259;883786;902340;911773;916714;925947;951200;964126
'003;Centro;IND;842940;867635;884759;892842;894724;906075;939314;957222
'004;Sud;IND;771568;788189;807504;817948;820313;826517;853390;866284
'005;Isole;IND;344451;353324;361458;364401;365864;368254;380039;382658
'006;Italia;IND;4012638;4097915;4184582;4224769;4235385;4277875;4410008;4475192
