Codice;Territorio;Variable;2000;2001;2002;2003;2004
'010;Piemonte;SCH;61,3823;72,6219;71,0696;66,7461;68,3461
'020;Valle D'Aosta;SCH;69,4574;103,9;86,1199;93,4783;77,4924
'030;Lombardia;SCH;58,8249;65,484;66,857;68,7396;70,1039
'070;Liguria;SCH;68,7642;72,2749;71,3888;73,6346;75,3074
'040;Trentino Alto Adige;SCH;54,2672;64,9968;63,2538;61,8277;61,9309
'021;Bolzano - Bozen;SCH;;;;;43,2192
'022;Trento;SCH;;;;;79,5675
'050;Veneto;SCH;57,6499;66,6215;68,9531;69,1135;67,69
'060;Friuli Venezia Giulia;SCH;63,5205;72,0882;76,8651;69,2182;70,0771
'080;Emilia Romagna;SCH;60,4523;65,9882;69,5733;75,3866;74,3983
'090;Toscana;SCH;64,9974;70,6747;72,3516;72,0632;70,7656
'100;Umbria;SCH;62,5787;67,4956;72,2711;68,5726;72,3507
'110;Marche;SCH;64,4882;69,5882;72,4727;67,2956;70,9783
'120;Lazio;SCH;67,5268;78,4607;80,6793;82,3926;72,6698
'130;Abruzzo;SCH;71,8298;80,142;90,1515;87,3199;76,0624
'140;Molise;SCH;69,7807;81,2006;85,4718;89,0781;86,6283
'150;Campania;SCH;66,2873;65,2542;74,4286;73,215;69,3171
'160;Puglia;SCH;59,823;65,081;67,0868;66,9668;71,7028
'170;Basilicata;SCH;57,3422;64,8736;71,3445;71,6286;70,1958
'180;Calabria;SCH;70,0192;74,7513;78,5219;80,2064;80,1602
'190;Sicilia;SCH;58,6826;65,0305;70,2966;72,4493;65,8893
'200;Sardegna;SCH;61,2686;66,5185;66,8053;59,1473;67,2643
'001;Nord-Ovest;SCH;60,6029;68,3984;68,6111;68,8044;70,1445
'002;Nord-Est;SCH;59,0204;66,8567;69,5604;70,7238;69,8156
'003;Centro;SCH;66,0561;74,3723;76,7563;76,607;71,9525
'004;Sud;SCH;65,1953;68,345;74,5308;74,117;72,5778
'005;Isole;SCH;59,3219;65,3885;69,4381;69,1783;66,1666
'006;Italia;SCH;62,6437;68,906;72,2618;72,2943;70,6778
'010;Piemonte;UNI;30,2215;29,3602;33,0615;33,556;34,1605
'020;Valle D'Aosta;UNI;29,5048;31,4513;33,8702;35,9194;36,2498
'030;Lombardia;UNI;28,1949;30,3509;31,1378;32,2983;32,0405
'070;Liguria;UNI;39,7357;41,3762;43,4392;44,0441;44,5813
'040;Trentino Alto Adige;UNI;23,1924;24,9471;25,328;25,848;26,6721
'021;Bolzano - Bozen;UNI;;;;;15,2222
'022;Trento;UNI;;;;;39,0456
'050;Veneto;UNI;29,5029;31,5053;32,8191;33,5231;34,0507
'060;Friuli Venezia Giulia;UNI;36,9718;39,4304;42,0955;41,6297;41,9455
'080;Emilia Romagna;UNI;32,4912;34,4254;35,8985;37,1864;37,458
'090;Toscana;UNI;36,6093;39,1818;42,4539;43,1359;42,6505
'100;Umbria;UNI;37,5872;39,0658;42,6735;43,996;44,7497
'110;Marche;UNI;37,6004;39,9767;41,7535;41,5334;42,0932
'120;Lazio;UNI;42,3448;44,6395;47,6394;50,7949;50,7159
'130;Abruzzo;UNI;44,076;48,1802;50,498;51,8121;52,9653
'140;Molise;UNI;42,4218;47,5903;50,084;52,5584;53,4467
'150;Campania;UNI;32,8251;33,8507;36,7526;37,8235;38,9846
'160;Puglia;UNI;30,445;32,4504;34,7943;36,2009;39,2997
'170;Basilicata;UNI;38,8632;41,7151;44,7075;45,8967;47,4868
'180;Calabria;UNI;40,0243;42,3045;44,9818;45,6467;47,4046
'190;Sicilia;UNI;29,7562;32,1072;34,4625;36,0172;37,5371
'200;Sardegna;UNI;36,3911;37,0752;37,4858;36,9234;38,862
'001;Nord-Ovest;UNI;29,7714;31,0375;32,7471;33,6819;33,7315
'002;Nord-Est;UNI;30,7656;32,7411;34,1291;34,8815;35,31
'003;Centro;UNI;39,6345;41,9684;44,9279;46,7411;46,7459
'004;Sud;UNI;34,4833;36,383;39,0466;40,2273;42,0517
'005;Isole;UNI;31,4287;33,3447;35,2109;36,2374;37,8539
'006;Italia;UNI;33,2773;35,1357;37,3295;38,4795;39,3336
'010;Piemonte;LAU25;17,0446;19,9336;20,8486;20,9893;21,0081
'020;Valle D'Aosta;LAU25;13,2019;18,2361;17,3362;20,1303;22,231
'030;Lombardia;LAU25;17,1514;19,0225;20,9548;21,6045;21,8868
'070;Liguria;LAU25;23,6362;26,3278;28,2421;29,3942;29,6568
'040;Trentino Alto Adige;LAU25;13,2353;14,7271;16,2985;17,3552;16,7833
'021;Bolzano - Bozen;LAU25;;;;;8,5061
'022;Trento;LAU25;;;;;25,2679
'050;Veneto;LAU25;17,9513;19,7792;21,2455;21,9651;21,4776
'060;Friuli Venezia Giulia;LAU25;20,4301;21,5866;25,0766;26,898;28,2283
'080;Emilia Romagna;LAU25;20,0064;21,7279;24,2305;23,5171;22,8187
'090;Toscana;LAU25;18,3976;20,6842;23,4598;23,0582;23,0539
'100;Umbria;LAU25;20,223;22,1394;26,1132;26,7029;29,8812
'110;Marche;LAU25;18,9882;23,0466;23,823;24,0469;24,768
'120;Lazio;LAU25;20,4518;24,2844;26,505;27,8944;27,7716
'130;Abruzzo;LAU25;21,1783;24,7078;27,47;28,0562;27,2147
'140;Molise;LAU25;19,4656;23,4885;25,8331;29,5195;31,9088
'150;Campania;LAU25;15,0138;17,3938;19,1666;20,6082;22,7179
'160;Puglia;LAU25;15,3077;17,88;20,0491;21,736;23,4798
'170;Basilicata;LAU25;17,1209;20,2247;24,0048;26,1267;28,0187
'180;Calabria;LAU25;17,1571;19,5836;23,0644;27,2439;26,9533
'190;Sicilia;LAU25;12,4308;14,4914;17,4336;18,8765;20,0012
'200;Sardegna;LAU25;15,6649;20,1248;22,6124;23,7357;25,4282
'001;Nord-Ovest;LAU25;17,6668;19,9032;21,5289;22,0888;22,3087
'002;Nord-Est;LAU25;18,5503;20,2389;22,2765;22,6311;22,2244
'003;Centro;LAU25;19,6072;22,8506;25,1788;25,7948;26,1225
'004;Sud;LAU25;16,0875;18,6945;20,9988;22,9132;24,3311
'005;Isole;LAU25;13,2752;15,9437;18,7806;20,1243;21,3324
'006;Italia;LAU25;17,2206;19,6756;21,8305;22,8408;23,4427
