Codice;Territorio;Variable;2005;2006;2007
'010;Piemonte;INTERNET;15,5;15,2;18,2
'020;Valle D'Aosta;INTERNET;18;15,8;17,6
'030;Lombardia;INTERNET;17,1;18;18,9
'070;Liguria;INTERNET;13,3;12,4;14,8
'040;Trentino Alto Adige;INTERNET;20,2;16,9;17
'021;Bolzano - Bozen;INTERNET;19,8;17,9;17,6
'022;Trento;INTERNET;20,6;15,9;16,4
'050;Veneto;INTERNET;17,8;17,4;16,9
'060;Friuli Venezia Giulia;INTERNET;13,3;14,3;16,7
'080;Emilia Romagna;INTERNET;15,8;18,2;15,6
'090;Toscana;INTERNET;14,9;18;18,4
'100;Umbria;INTERNET;16,4;14;14,2
'110;Marche;INTERNET;14;13,6;14,7
'120;Lazio;INTERNET;16,4;14,3;14,1
'130;Abruzzo;INTERNET;15,2;13;14,7
'140;Molise;INTERNET;10,4;8,5;10,2
'150;Campania;INTERNET;8,2;9;9
'160;Puglia;INTERNET;9,6;11,2;10
'170;Basilicata;INTERNET;13,1;11,4;13,8
'180;Calabria;INTERNET;8,8;10,2;11,3
'190;Sicilia;INTERNET;9,9;10,5;11,2
'200;Sardegna;INTERNET;11,5;15,4;14,3
'001;Nord-Ovest;INTERNET;16,3;16,6;18,3
'002;Nord-Est;INTERNET;16,7;17,3;16,4
'003;Centro;INTERNET;15,6;15,4;15,5
'004;Sud;INTERNET;9,6;10,3;10,3
'005;Isole;INTERNET;10,3;11,7;12
'006;Italia;INTERNET;14;14,5;14,8
