Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007
'010;Piemonte;INVPIL;20,69176209;21,99006311;20,92284842;22,90381131;21,49030025;22,35286405;22,22401687;21,97049966;21,16411267
'020;Valle D'Aosta;INVPIL;20,74686099;22,61636227;24,8305337;24,44957917;23,95498627;23,01207131;23,37251812;22,88458274;25,40684631
'030;Lombardia;INVPIL;17,50752105;19,11833603;19,31700416;19,59329549;18,33191379;19,06676461;19,9852082;20,08554139;20,86388499
'070;Liguria;INVPIL;17,99585904;18,13153873;18,42115843;18,27749749;19,33497747;16,73123165;17,33153942;16,98240555;17,69275125
'040;Trentino Alto Adige;INVPIL;25,51801413;27,08344838;27,73114233;29,48791321;28,41409128;28,76345492;29,26865856;29,90497917;28,35181332
'021;Bolzano - Bozen;INVPIL;26,34262626;27,75015357;28,81157867;28,94122227;28,77290489;28,97385808;29,44667395;30,55756602;28,7837406
'022;Trento;INVPIL;24,6691741;26,38503724;26,61304753;30,05046181;28,04265554;28,53988974;29,08118971;29,20704593;27,89598079
'050;Veneto;INVPIL;20,60587158;20,97737356;21,81604348;23,88836339;22,00613257;22,18050162;22,58302153;22,74014525;22,7822744
'060;Friuli Venezia Giulia;INVPIL;20,56505919;21,61745072;23,07524539;23,0775036;22,03435938;21,78068375;22,55944121;22,31203854;22,52252685
'080;Emilia Romagna;INVPIL;20,78312529;20,23464196;19,5361602;22,10697737;20,3439637;20,89832619;21,02215946;21,62300599;21,12823779
'090;Toscana;INVPIL;17,63088322;17,41623016;17,60727908;17,84429977;18,66989394;18,91361731;17,21442688;18,95933933;19,43400001
'100;Umbria;INVPIL;21,28138789;21,76438855;20,9064032;24,03398618;20,91184967;19,53402624;20,65452312;20,03468775;21,02892096
'110;Marche;INVPIL;21,44983298;20,72301051;22,35433808;21,49090608;21,25138672;22,9111419;19,66748102;20,62672941;20,75071668
'120;Lazio;INVPIL;18,28503265;18,44963024;17,51146682;17,92502477;18,50105625;16,93146607;18,16995204;18,35979196;18,28995714
'130;Abruzzo;INVPIL;21,77125426;20,61663455;22,20260039;22,25960215;22,74191432;23,24088415;22,62001156;23,4444424;23,66464838
'140;Molise;INVPIL;22,95408787;27,2283977;27,53279247;21,4223249;21,93258158;25,68211089;24,58927601;26,91778114;24,68811985
'150;Campania;INVPIL;19,7106174;19,83616397;20,07479241;19,06971955;20,79677193;20,23271057;21,23686406;21,95989385;22,37601026
'160;Puglia;INVPIL;20,5293359;20,83880234;21,60642128;21,0268639;20,89454354;21,63297503;20,24879943;20,19065847;20,66456385
'170;Basilicata;INVPIL;26,4792406;27,67128189;27,79420181;25,66601983;28,09805285;27,90118282;28,38054034;26,36263828;24,88652591
'180;Calabria;INVPIL;23,28644061;21,02462574;22,68748209;23,98486837;21,04067578;21,1215871;24,19054489;23,63826221;24,01661346
'190;Sicilia;INVPIL;19,34829429;22,71929951;21,42689334;20,02016418;20,3567939;21,0185778;20,71335453;21,60837078;21,23182608
'200;Sardegna;INVPIL;22,6774626;24,2993201;23,36720165;25,11974805;25,25937072;26,31721076;24,19456252;26,26373178;26,26508372
'001;Nord-Ovest;INVPIL;18,40349369;19,80147307;19,69337137;20,35850254;19,2672485;19,7343107;20,35302386;20,32074851;20,70143138
'002;Nord-Est;INVPIL;21,13131083;21,31430156;21,59642979;23,62098258;21,95358962;22,25582812;22,5947514;22,92395672;22,62699363
'003;Centro;INVPIL;18,65688599;18,61816597;18,36177507;18,73155913;19,04637866;18,43971052;18,21094147;18,93417894;19,12434871
'004;Sud;INVPIL;21,07205075;20,92050339;21,64498219;21,00503415;21,42940502;21,55983767;21,91726675;22,18026396;22,43890858
'005;Isole;INVPIL;20,28379707;23,16232897;21,971878;21,4414695;21,7392282;22,52415533;21,68792432;22,91025958;22,65214522
'006;Italia;INVPIL;19,63453176;20,32054774;20,32432519;20,91449369;20,35244277;20,51459678;20,73312048;21,09403912;21,20764309
'010;Piemonte;SPEINSTPIL;3,117948379;3,07927331;3,061273959;3,046476261;3,031166397;3,233393758;2,903309732;3,259683576;3,261737004
'020;Valle D'Aosta;SPEINSTPIL;4,872124431;3,95731377;3,907736562;3,794031934;3,736260237;3,45752992;3,665137315;4,168007849;4,17783517
'030;Lombardia;SPEINSTPIL;2,842044374;2,615240654;2,562145496;2,52760708;2,510938512;2,587476404;2,348570061;2,642681519;2,666281866
'070;Liguria;SPEINSTPIL;3,400975917;3,282881531;3,227832494;3,285589759;3,294147504;3,297928446;3,136939224;3,308641081;3,26524853
'040;Trentino Alto Adige;SPEINSTPIL;3,935353068;3,494199515;3,498517115;3,471712019;3,461200152;3,692666326;3,350055674;4,409763262;4,53112298
'021;Bolzano - Bozen;SPEINSTPIL;4,80519135;4,263717881;4,288136298;4,295496801;4,256679454;4,046197841;4,092226655;4,47592514;4,673199823
'022;Trento;SPEINSTPIL;3,039958099;2,688085794;2,681375871;2,627146863;2,639822136;3,317019234;2,572649223;4,339003985;4,381182817
'050;Veneto;SPEINSTPIL;2,820435507;2,832276191;2,810009895;2,838411233;2,795639081;2,833349716;2,64946751;2,921150705;2,966796952
'060;Friuli Venezia Giulia;SPEINSTPIL;3,168440208;3,096856218;3,033667657;3,07945688;3,122951009;3,081241322;2,964598471;3,137731601;3,181098652
'080;Emilia Romagna;SPEINSTPIL;2,829574724;2,657736552;2,666808432;2,589637811;2,731193595;2,761579333;2,676882759;2,879899091;2,881276556
'090;Toscana;SPEINSTPIL;3,66561047;3,522189343;3,452361026;3,425078295;3,405591228;3,452630276;3,243014311;3,445500696;3,459102563
'100;Umbria;SPEINSTPIL;4,501426275;4,234316839;4,132422169;4,168163065;4,156687973;4,109040606;3,913760545;4,159769114;4,304379765
'110;Marche;SPEINSTPIL;4,068781101;4,064041156;3,963919477;3,877698246;3,884497714;3,987913166;3,669126179;4,040515414;4,016906057
'120;Lazio;SPEINSTPIL;4,06764048;3,858099621;3,767792563;3,676545438;3,639806297;3,578449025;3,327092274;3,589048493;3,541064367
'130;Abruzzo;SPEINSTPIL;5,290193611;5,12105218;4,955468888;4,858217974;4,84695386;5,141753063;4,518930222;4,895005528;4,925565257
'140;Molise;SPEINSTPIL;6,187605069;6,031284682;5,807454811;5,71532513;5,654026909;5,824586257;5,127524717;5,598977289;5,448714656
'150;Campania;SPEINSTPIL;8,062313068;8,159494746;7,796508598;7,503591384;7,445148387;7,49685874;6,866175837;7,555611673;7,47892436
