Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
'010;Piemonte;NUZ;4,551478805;4,583842347;4,207185942;4,276564936;4,040204909;3,824479061;3,731590694;3,730608135;3,728769648;3,680846726
'020;Valle D'Aosta;NUZ;4,370397504;4,098222984;3,383315398;4,034018839;3,836196074;3,903506623;3,4110336;3,778286909;3,963459614;4,007208233
'030;Lombardia;NUZ;4,499391485;4,524001296;4,214176918;4,36880834;4,035860539;3,720623214;3,696465616;3,639414293;3,699216488;3,541589352
'070;Liguria;NUZ;4,371485209;4,574449272;4,139089146;4,29380552;3,987718082;3,965571145;4,01443523;4,083887816;3,991049507;3,876726185
'040;Trentino Alto Adige;NUZ;4,689129201;4,772404368;4,126916268;4,353111825;4,023086747;3,797474236;3,716817682;3,788202124;3,678376799;3,517407366
'021;Bolzano - Bozen;NUZ;4,658756987;4,593041716;4,137149089;4,274914163;4,040584767;3,910606281;3,830295806;3,934772236;3,643094878;3,59600994
'022;Trento;NUZ;4,718752133;4,946989735;4,116977647;4,428869483;4,006217749;3,688883268;3,60791341;3,647321269;3,712316993;3,441877662
'050;Veneto;NUZ;4,916360526;4,832089397;4,490616318;4,456678435;4,453864714;4,074131991;4,076173762;3,948120805;3,967564081;3,840546423
'060;Friuli Venezia Giulia;NUZ;4,724587299;5,179021657;4,319106443;4,032517806;4,744379701;3,718831997;3,727316581;3,554079508;3,558603388;3,333880963
'080;Emilia Romagna;NUZ;4,102380666;4,143988758;3,833817916;3,881096169;3,529905376;3,418916384;3,435454398;3,454835146;3,541800946;3,457715027
'090;Toscana;NUZ;4,697397697;4,904550637;4,478611605;4,596099603;4,396552734;4,134644643;4,091635229;4,05286079;4,157337423;4,084840537
'100;Umbria;NUZ;4,753688317;5,067409433;4,548035214;4,808462509;4,585574404;4,419552889;4,418536775;4,334676551;4,101473925;4,188518175
'110;Marche;NUZ;4,342466511;4,517253217;4,262091;4,250735184;4,09175267;3,841107657;3,850256711;3,97010415;3,742116387;3,766683394
'120;Lazio;NUZ;4,658200259;4,763466423;4,433317936;4,659121026;4,632234509;4,485871319;4,422043074;4,317431812;4,255528945;4,002421582
'130;Abruzzo;NUZ;4,225836373;4,50913681;4,269956678;4,469836883;4,368586813;3,966473359;4,096631356;4,035021169;3,941097675;3,673276257
'140;Molise;NUZ;4,495313002;4,54485483;3,841510433;4,02797133;3,236125114;4,253864678;4,234203404;3,981397265;3,810195471;3,756041226
'150;Campania;NUZ;6,257935733;6,132865507;5,896301038;5,882297858;5,889712124;5,606900966;5,420074327;5,409668636;5,536833484;5,470412458
'160;Puglia;NUZ;5,850552738;5,848748404;5,402238305;5,387235861;5,324275535;4,643639283;4,762592164;4,464349871;4,803830888;4,834085477
'170;Basilicata;NUZ;5,203345411;4,934829604;4,867688441;4,827977148;4,81646746;4,34000868;4,320394547;4,560393581;4,535078349;4,07920772
'180;Calabria;NUZ;4,957489503;5,181468786;4,774169045;4,929033125;4,855265221;4,717199348;4,619198875;4,610656378;4,691245779;4,633484181
'190;Sicilia;NUZ;5,446674745;5,683580648;5,309070423;5,526981695;5,466655626;5,033972978;4,849908173;4,807419679;4,796077139;4,836164594
'200;Sardegna;NUZ;4,958022644;4,993252815;4,643497358;4,629666457;4,533130533;4,228780486;4,043283645;4,095779338;4,291050387;4,394269886
'001;Nord-Ovest;NUZ;4,499472906;4,542901128;4,197637756;4,332266661;4,030465186;3,776549614;3,736880067;3,711820208;3,739458279;3,618214542
'002;Nord-Est;NUZ;4,57014632;4,607911076;4,193397262;4,184731705;4,101463732;3,764599974;3,765159306;3,70534971;3,73718042;3,612795636
'003;Centro;NUZ;4,635762411;4,798638843;4,433475403;4,595121547;4,480078259;4,281176707;4,238877356;4,188186986;4,144612706;4,011092146
'004;Sud;NUZ;5,681475341;5,677752085;5,352240047;5,385444439;5,331974867;4,965933094;4,920104302;4,82701441;4,974905697;4,902027175
'005;Isole;NUZ;5,325942852;5,512973185;5,144526476;5,304900798;5,235619077;4,834745371;4,649962335;4,630691908;4,67049428;4,726165875
'006;Italia;NUZ;4,925301166;4,994722008;4,633887261;4,72402474;4,584646649;4,279633405;4,227137001;4,173494128;4,216568986;4,121745257
