Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007
'010;Piemonte;SEP;1,552237069;1,797394831;1,893577573;1,945378766;1,875187686;1,841545037;1,838350397;1,616642864;1,688581365
'020;Valle D'Aosta;SEP;2,020993065;1,822365548;2,043388508;2,112661413;2,16506345;1,853757329;1,822998955;1,591703847;2,185086387
'030;Lombardia;SEP;1,40278758;1,527657103;1,54099589;1,628023254;1,574247113;1,71417339;1,534637949;1,531283669;1,509184433
'070;Liguria;SEP;1,815017053;2,403748989;2,078118718;1,750365429;2,184990115;2,072066132;2,034696636;1,906767284;1,932436212
'040;Trentino Alto Adige;SEP;1,27001749;1,219650206;1,449911166;1,359025436;1,485656514;1,519815681;1,588985483;1,165756067;1,476545603
'021;Bolzano - Bozen;SEP;1,117664235;1,135212015;1,391311121;1,418523553;1,365321474;1,391374741;1,71300498;1,356249414;1,483318273
'022;Trento;SEP;1,418612192;1,301839404;1,506826428;1,30138384;1,601665732;1,64310105;1,469964721;0,982656898;1,470030488
'050;Veneto;SEP;1,102879185;1,147479465;1,121658328;1,296991369;1,369585633;1,309450683;1,304689221;1,273356745;1,311070058
'060;Friuli Venezia Giulia;SEP;1,398525392;1,672374751;1,864818819;1,729545119;1,811886056;1,648005227;1,641942216;1,608505998;1,577220338
'080;Emilia Romagna;SEP;1,465861806;1,652236352;1,604865711;1,600799327;1,581614606;1,578746352;1,461818944;1,566315583;1,440864208
'090;Toscana;SEP;1,39592749;1,547916489;1,610149117;1,669675695;1,495827595;1,543198676;1,563837559;1,431231911;1,521203829
'100;Umbria;SEP;1,062474345;1,163510275;1,320905511;1,362317409;1,245963696;1,203308806;1,32266553;1,245372219;1,38157307
'110;Marche;SEP;1,15469195;1,169872064;1,187661809;1,221358963;1,326006179;1,380470412;1,326950583;1,213739928;1,239171413
'120;Lazio;SEP;1,323130419;1,50664927;1,821287685;2,072712533;2,043678335;1,938499745;1,958249604;1,797540786;1,750265168
'130;Abruzzo;SEP;0,992214959;0,914196367;0,992994751;1,085317726;1,169124485;1,149635149;1,352233893;1,283314163;1,223334943
'140;Molise;SEP;0,692537904;0,748162578;0,819397603;0,798111966;0,871264454;0,994329216;0,986217839;0,957906709;1,079711411
'150;Campania;SEP;0,790065697;0,838487963;0,912395484;0,912791482;0,91106566;0,976159761;0,975136691;1,148075885;1,009862711
'160;Puglia;SEP;0,65253784;0,702465179;0,862091038;0,872759064;0,998394658;0,978893367;0,955565234;0,957330735;1,081211797
'170;Basilicata;SEP;0,492948513;0,601239786;0,533056166;0,316506306;0,499237323;0,752379883;0,755901068;0,813211138;0,7121477
'180;Calabria;SEP;0,508233606;0,414655886;0,524781269;0,640276424;0,669365695;0,792417859;0,729504547;0,755034333;0,899205369
'190;Sicilia;SEP;0,750458308;0,865895598;0,899058372;0,96983304;1,051989367;1,087622499;1,190792732;1,081315633;1,152037955
'200;Sardegna;SEP;0,741386564;0,920806656;1,017870299;1,173632073;1,196073441;1,220716469;1,154359598;1,215642269;1,018928982
'001;Nord-Ovest;SEP;1,494208407;1,699405128;1,701239947;1,734161272;1,727162763;1,788030037;1,67359977;1,594316928;1,607937134
'002;Nord-Est;SEP;1,286598952;1,401465282;1,414410768;1,464356867;1,508199692;1,466323098;1,425738398;1,410537884;1,403450058
'003;Centro;SEP;1,304333508;1,448808506;1,630470664;1,774775369;1,71038451;1,680374151;1,698209657;1,560936196;1,58217366
'004;Sud;SEP;0,712491431;0,732263996;0,830642603;0,849437827;0,906637409;0,957530116;0,960337228;1,031225806;1,023792815
'005;Isole;SEP;0,74821694;0,879466304;0,928431231;1,020272251;1,087648491;1,120553746;1,181761698;1,114674123;1,118938311
'006;Italia;SEP;1,140534103;1,263897712;1,331935886;1,393380238;1,410076954;1,429798999;1,404114519;1,364183154;1,370250184
