Codice;Territorio;Variable;2000;2001;2002;2003;2004;2005;2006;2007
'010;Piemonte;STUDCLASS;20,5;20,2;20,4;20,6;20,6295;1;20,39489489;20,42688092
'020;Valle D'Aosta;STUDCLASS;18,7;18,5;21,2;18,4;18,7073;20,5604;18,5;18,57854406
'030;Lombardia;STUDCLASS;21,3;21;21;21;21,2075;18,3887;20,5517378;21,34703143
'070;Liguria;STUDCLASS;20,1;19,8;20;20,3;20,0827;19,5393;20,42468619;20,61632368
'040;Trentino Alto Adige;STUDCLASS;19,1;18,9;18,5;18,6;18,547;21,0368;17,57576923;17,41930675
'021;Bolzano - Bozen;STUDCLASS;18,3;18,1;18;18,2;18,3708;1;16,74310693;16,55483871
'022;Trento;STUDCLASS;19,8;19,7;19,1;19;18,7088;20,5604;18,68823001;18,60194175
'050;Veneto;STUDCLASS;21;20,5;20,9;21;21,1097;18,9868;20,46641197;21,19571832
'060;Friuli Venezia Giulia;STUDCLASS;19,5;19,3;19,2;19,5;19,3797;21,0014;19,5493617;19,86680851
'080;Emilia Romagna;STUDCLASS;21;20,4;20,7;21;21,0887;20,3437;20,38959889;21,67824594
'090;Toscana;STUDCLASS;20,8;20,4;20,6;20,7;20,6721;21,0123;20,85219135;21,12740869
'100;Umbria;STUDCLASS;20,1;19,6;19,7;20;20,1593;20,701;20,09496021;20,53986089
'110;Marche;STUDCLASS;20,9;20,2;20,4;20,8;20,7593;20,0141;20,41690627;20,90037978
'120;Lazio;STUDCLASS;20,9;20,6;20,9;20,8;20,8322;20,7929;19,86274965;20,82566293
'130;Abruzzo;STUDCLASS;21,7;21,3;21,4;21,5;21,3494;20,8143;20,83505821;20,5306252
'140;Molise;STUDCLASS;21,6;21,4;21,2;20,8;20,9253;21,4857;20,42550656;20,30132053
'150;Campania;STUDCLASS;22,6;22;22,4;21,8;21,8688;20,7551;20,73856982;21,36044195
'160;Puglia;STUDCLASS;21,7;21,3;21,5;21,5;21,3913;21,835;21,1332718;21,14922049
'170;Basilicata;STUDCLASS;21,3;20,7;20,9;21,1;21,15;21,5081;20,28450226;20,14536199
'180;Calabria;STUDCLASS;21,1;20,6;20,5;20,4;20,3668;21,1212;19,93300626;19,74213625
'190;Sicilia;STUDCLASS;20,6;20,2;20,3;20,5;20,6773;20,4256;19,79757893;20,40610413
'200;Sardegna;STUDCLASS;20,9;20,6;20,1;20,5;20,5031;20,5467;19,70118613;19,94317378
'001;Nord-Ovest;STUDCLASS;21;20,6;20,7364;20,8;20,9058;20,8254;20,47727747;20,98690711
'002;Nord-Est;STUDCLASS;20,7;20,2;20,4128;20,6;20,6512;20,7134;20,00502783;20,75538843
'003;Centro;STUDCLASS;20,8;20,4;20,6664;20,7;20,7258;20,5407;20,22982227;20,89948485
'004;Sud;STUDCLASS;22;21,4;21,6444;21,4;21,4065;21,2232;20,70674934;20,91105646
'005;Isole;STUDCLASS;20,6;20,3;20,2798;20,5;20,6372;20,4282;19,77524705;20,29802929
'006;Italia;STUDCLASS;21,1;20,7;20,9;20,9;20,9424;20,8148;20,32106452;20,81509428
