Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007
'010;Piemonte;DEL;4450,64488;4796,858147;4790,106152;4860,675923;5147,203174;4959,846574;5191,131591;5758,013544;5982,617961
'020;Valle D'Aosta;DEL;3109,803079;2478,249185;3085,181665;3335,343411;3632,038;3635,650938;4003,305705;4012,219141;4261,715931
'030;Lombardia;DEL;4897,811736;3940,977026;3935,992677;3999,350246;4488,641815;4802,614694;5142,711895;5529,665848;5802,22471
'070;Liguria;DEL;6011,906537;5834,554365;5579,672544;4878,363924;5482,79487;5695,721127;6087,789853;6722,286927;6882,680175
'040;Trentino Alto Adige;DEL;2941,775206;2435,867799;2426,255759;2662,420726;3220,142199;3139,059521;3223,385131;3145,521007;3264,184778
'021;Bolzano - Bozen;DEL;3177,578474;2614,684685;2584,852668;2945,370724;3292,107441;3017,596674;3028,18435;3000,238065;2905,510792
'022;Trento;DEL;2711,789201;2261,813663;2272,218597;2388,299622;3150,763974;3249,373972;3403,518316;3279,617398;3603,730741
'050;Veneto;DEL;4128,366198;3458,716591;3468,15693;3599,667122;4157,844202;4120,070869;4169,496018;4352,647067;4575,940563
'060;Friuli Venezia Giulia;DEL;3796,227972;3260,071226;3415,620754;3243,697033;3564,854432;3427,101779;3576,052343;3555,318727;3647,89706
'080;Emilia Romagna;DEL;4613,552337;4573,251694;4538,348933;4529,026871;5120,224533;5281,803065;5618,709172;5797,816884;6249,722028
'090;Toscana;DEL;3976,889422;3688,060617;3646,162509;4497,40195;4262,416788;4439,906537;4790,984271;5108,070547;5399,61743
'100;Umbria;DEL;3170,83331;2979,169883;3233,916006;3399,891352;3752,038958;3420,701129;3936,840984;4056,191103;4318,269369
'110;Marche;DEL;2637,44013;2816,044292;2475,283449;2881,053847;3427,812946;3292,226801;3295,129363;3547,448585;3645,00264
'120;Lazio;DEL;5525,548867;5263,402709;5256,073263;5463,495627;5425,78532;4895,394426;5409,773281;5922,734825;6072,084908
'130;Abruzzo;DEL;2651,45852;2725,066345;2647,087843;2867,967865;3466,813589;3558,066632;3764,831092;3869,062186;4056,976578
'140;Molise;DEL;1763,807474;1795,900628;1690,825395;1692,246779;2457,588091;2515,031461;2338,611828;2657,801089;2994,170807
'150;Campania;DEL;3858,052171;3473,353238;3345,940927;3654,561546;3889,250844;3431,451791;3705,623055;3961,189923;4099,684034
'160;Puglia;DEL;3470,461209;3428,233542;3262,373231;3199,619268;3706,013195;3441,146842;3495,17211;3592,803044;3901,397118
'170;Basilicata;DEL;1753,867654;1671,646464;2049,341951;2014,252832;2586,484909;1786,273843;1884,209395;2146,067567;2361,420878
'180;Calabria;DEL;3066,801507;2873,085892;3111,252884;3118,136228;3537,236888;3211,903877;3498,333077;3674,183947;3892,146282
'190;Sicilia;DEL;3705,255349;3746,317261;3288,602665;3143,031858;3481,629683;3287,067945;3378,445675;3711,81274;4011,130594
'200;Sardegna;DEL;3966,418115;3705,345536;3444,713168;3353,785208;3834,018901;3315,247295;3226,580279;3324,525206;3303,820081
'001;Nord-Ovest;DEL;4875,746815;4372,685674;4343,761661;4328,883225;4770,362329;4929,752654;5244,849479;5704,309081;5950,882815
'002;Nord-Est;DEL;4168,302892;3763,605387;3771,033519;3825,524778;4370,229096;4393,758175;4566,73309;4703,620627;4990,286179
'003;Centro;DEL;4465,608389;4257,552656;4212,750701;4648,82981;4655,468673;4420,300422;4813,576248;5203,534734;5404,485031
'004;Sud;DEL;3382,960818;3189,316157;3130,621225;3258,755655;3658,639894;3323,620198;3512,58232;3699,319322;3911,000566
'005;Isole;DEL;3769,781164;3736,191518;3327,196532;3195,192226;3568,841896;3294,040321;3340,801327;3615,634293;3835,246691
'006;Italia;DEL;4170,976173;3873,72733;3797,703914;3904,218466;4265,083947;4155,914253;4400,706584;4702,103012;4940,011365
