Codice;Territorio;Variable;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
'010;Piemonte;POP;4225023;4219421;4213294;4231334;4270215;4330172;4341733;4352828;4401266;4432571;4446230;4457335
'020;Valle D'Aosta;POP;118879;119273;119546;120909;122040;122868;123978;124812;125979;127065;127866;128230
'030;Lombardia;POP;8971154;9004084;9033602;9108645;9246796;9393092;9475202;9545441;9642406;9742676;9826141;9917714
'070;Liguria;POP;1587722;1578998;1570004;1572197;1577474;1592309;1610134;1607878;1609822;1615064;1615986;1616788
'040;Trentino Alto Adige;POP;929058;935411;940566;950495;962464;974613;985128;994703;1007267;1018657;1028260;1037114
'021;Bolzano - Bozen;POP;458551;461101;463207;467338;471635;477067;482650;487673;493910;498857;503434;507657
'022;Trento;POP;470507;474310;477359;483157;490829;497546;502478;507030;513357;519800;524826;529457
'050;Veneto;POP;4485045;4508580;4529823;4577408;4642899;4699950;4738313;4773554;4832340;4885548;4912438;4937854
'060;Friuli Venezia Giulia;POP;1178281;1181238;1183603;1191588;1198187;1204718;1208278;1212602;1222061;1230936;1234079;1235808
'080;Emilia Romagna;POP;3945406;3966295;3984526;4030220;4080479;4151369;4187557;4223264;4275802;4337979;4377435;4432418
'090;Toscana;POP;3491308;3494857;3497042;3516296;3566071;3598269;3619872;3638211;3677048;3707818;3730130;3749813
'100;Umbria;POP;820835;824187;826196;834210;848022;858938;867878;872967;884450;894222;900790;906486
'110;Marche;POP;1457631;1464056;1471123;1484601;1504827;1518780;1528809;1536098;1553063;1569578;1577676;1565335
'120;Lazio;POP;5116960;5116344;5117075;5145805;5205139;5269972;5304778;5493308;5561017;5626710;5681868;5728688
'130;Abruzzo;POP;1261134;1261300;1262379;1273284;1285896;1299272;1305307;1309797;1323987;1334675;1338898;1342366
'140;Molise;POP;322777;321468;320467;321047;321697;321953;320907;320074;320838;320795;320229;319780
'150;Campania;POP;5717191;5708137;5701389;5725098;5760353;5788986;5790929;5790187;5811390;5812962;5824662;5834056
'160;Puglia;POP;4034132;4026054;4019500;4023957;4040990;4068167;4071518;4069869;4076546;4079702;4084035;4091259
'170;Basilicata;POP;601448;599404;597468;596821;597000;596546;594086;591338;591001;590601;588879;587517
'180;Calabria;POP;2028007;2018722;2009623;2007392;2011338;2009268;2004415;1998052;2007707;2008709;2009330;2011395
'190;Sicilia;POP;4993111;4978068;4965669;4972124;5003262;5013081;5017212;5016861;5029683;5037799;5042992;5051075
'200;Sardegna;POP;1638422;1634795;1630847;1637639;1643096;1650052;1655677;1659443;1665617;1671001;1672404;1675411
'001;Nord-Ovest;POP;14902778;14921776;14936446;15033085;15216525;15438441;15551047;15630959;15779473;15917376;16016223;16120067
'002;Nord-Est;POP;10537790;10591524;10638518;10749711;10884029;11030650;11119276;11204123;11337470;11473120;11552212;11643194
'003;Centro;POP;10886734;10899444;10911436;10980912;11124059;11245959;11321337;11540584;11675578;11798328;11890464;11950322
'004;Sud;POP;13964689;13935085;13910826;13947599;14017274;14084192;14087162;14079317;14131469;14147444;14166033;14186373
'005;Isole;POP;6631533;6612863;6596516;6609763;6646358;6663133;6672889;6676304;6695300;6708800;6715396;6726486
'006;Italia;POP;56923524;56960692;56993742;57321070;57888245;58462375;58751711;59131287;59619290;60045068;60340328;60626442
