Codice;Territorio;Variable;2002;2003;2004;2005;2006;2007;2008
'010;Piemonte;POV;7,8;7,3;6,7;8,1;6,68;7;7,66
'020;Valle D'Aosta;POV;8,7;7,9;7,1;6,6;9,93;7,9;9,19
'030;Lombardia;POV;3,9;4,7;3,7;4;4,96;5,3;5,11
'070;Liguria;POV;5,8;7;7,7;6,5;7,37;10,5;8,68
'040;Trentino Alto Adige;POV;11,6;9,7;8,3;6,2;7,14;5,4;6,95
'021;Bolzano - Bozen;POV;11,1;13,2;11,6;4;8,51;5,9;6,25
'022;Trento;POV;12,1;6,4;4,9;8,2;5,83;5;7,62
'050;Veneto;POV;3,9;4,2;5;4,9;5;3,4;5,4
'060;Friuli Venezia Giulia;POV;9,4;9;5,7;8,8;7,69;6,8;7,4
'080;Emilia Romagna;POV;5;4,8;3,5;2,9;4,01;6,8;4,71
'090;Toscana;POV;6,3;4,9;5,1;5,1;7,69;4,1;6,63
'100;Umbria;POV;7;9,4;8,4;8,2;7,91;8,3;7,17
'110;Marche;POV;5,4;5,4;7,8;5,3;6,72;7;6,55
'120;Lazio;POV;9,7;7,1;8,8;8;8,4;9,2;9,75
'130;Abruzzo;POV;16,5;15,8;16,3;11,8;13,16;12,4;15,22
'140;Molise;POV;25,2;22,4;22,8;20,4;20,05;14,3;24,23
'150;Campania;POV;24,3;22,1;26,9;30,4;24,18;23,9;28,27
'160;Puglia;POV;23,3;20,6;26,6;20,2;22,34;21,9;21,05
'170;Basilicata;POV;24,7;24,7;28,5;25,5;24,55;27,9;29,57
'180;Calabria;POV;30,6;25,8;27,1;26,1;31,4;25,7;28,39
'190;Sicilia;POV;23,1;26,7;32;34,5;31,51;31,8;33,05
'200;Sardegna;POV;19,3;14,6;17,9;18;19,45;24,6;22,64
'001;Nord-Ovest;POV;5,2;5,7;5;5,4;5,73;6,3;6,2
'002;Nord-Est;POV;5,6;5,5;4,8;4,7;5,11;5,2;5,5
'003;Centro;POV;7,9;6,4;7,4;6,7;7,91;7,2;8,1
'004;Sud;POV;24,2;21,7;25,8;24,7;23,57;22,5;24,9
'005;Isole;POV;22,2;23,7;28,5;30,4;28,52;30;30,5
'006;Italia;POV;12,4;11,8;13,2;13,1;12,91;12,8;13,63
