Codice;Territorio;Variable;2004;2005;2006;2007;2008;2009
'010;Piemonte;SCH2564;52,02917933;49,41813669;47,69108852;46,8263914;46,04288497;45,18385112
'020;Valle D'Aosta;SCH2564;54,62132907;53,77432699;53,99655871;52,2895211;51,98026544;50,7205335
'030;Lombardia;SCH2564;49,30162552;47,40476152;46,29793332;45,07265015;44,01819718;43,42776999
'070;Liguria;SCH2564;44,1825584;42,26738773;42,24711436;41,52883119;37,80001471;35,96545566
'040;Trentino Alto Adige;SCH2564;50,47699966;49,10434822;47,77958799;45,27215638;44,03695388;42,58379737
'021;Bolzano - Bozen;SCH2564;58,1015796;56,25176107;55,07512449;52,60220721;51,20525767;50,37774845
'022;Trento;SCH2564;43,28841175;42,38120225;40,90902955;38,34959844;37,25941043;35,22826089
'050;Veneto;SCH2564;53,64184723;51,02557442;50,21468913;47,75923034;46,1330555;44,83087479
'060;Friuli Venezia Giulia;SCH2564;49,02011752;47,12060805;44,58556194;44,06061917;42,87569112;42,66789761
'080;Emilia Romagna;SCH2564;48,00244239;46,80216497;45,04543499;43,93991307;42,44883009;41,05306982
'090;Toscana;SCH2564;51,66322662;50,21993596;48,28722056;49,60075621;47,7065484;45,95108533
'100;Umbria;SCH2564;43,18409162;41,80030865;40,48391356;39,9855415;39,14496107;37,63979604
'110;Marche;SCH2564;48,53346142;46,98296236;46,19732471;45,2334873;44,45402212;42,99327935
'120;Lazio;SCH2564;41,59295927;39,60782416;39,32030663;37,38640697;36,39396176;35,20576616
'130;Abruzzo;SCH2564;46,93481013;44,55066546;43,48503332;45,70182784;43,54271473;43,32931058
'140;Molise;SCH2564;51,40980905;49,71873336;49,18289329;47,69712764;47,42102532;46,64428176
'150;Campania;SCH2564;57,64703058;57,3941669;56,79327921;56,80393529;56,55058527;54,93556731
'160;Puglia;SCH2564;60,39263688;60,01175139;57,94376051;56,37959025;56,35673215;57,17015217
'170;Basilicata;SCH2564;53,02279523;50,94283922;49,89079392;49,16975935;47,47197887;46,45906972
'180;Calabria;SCH2564;53,55924809;52,53146688;51,91106098;51,71718413;51,04820487;49,16277733
'190;Sicilia;SCH2564;59,55063924;58,57640507;57,43051897;56,89233728;56,16738869;54,44038947
'200;Sardegna;SCH2564;61,44486962;60,64412034;58,63961101;57,40542517;56,83597447;56,48232035
'001;Nord-Ovest;SCH2564;49,59210544;47,50558123;46,34400875;45,2659361;44,03437579;43,24711494
'002;Nord-Est;SCH2564;50,75735648;48,85326928;47,45693792;45,71180879;44,21718196;42,9802008
'003;Centro;SCH2564;45,85522182;44,14051718;43,18141436;42,44029704;41,20765366;39,77645875
'004;Sud;SCH2564;56,53833453;55,83049834;54,73745848;54,39858799;53,90393767;53,12246973
'005;Isole;SCH2564;60,05037925;59,12228836;57,75063256;57,0283869;56,34452039;54,98087262
'006;Italia;SCH2564;51,8715884;50,33621087;49,15838805;48,20997514;47,15624615;46,08549727
