Codice;Territorio;Variable;2006;2008
'010;Piemonte;VOTDEP;84,85735216;80,75511279
'020;Valle D'Aosta;VOTDEP;83,44899582;79,1906423
'030;Lombardia;VOTDEP;80,23348071;84,69460097
'070;Liguria;VOTDEP;83,45312056;78,00098956
'040;Trentino Alto Adige;VOTDEP;87,73284985;84,25698575
'021;Bolzano - Bozen;VOTDEP;88,02188538;84,58922576
'022;Trento;VOTDEP;87,4611119;83,94365765
'050;Veneto;VOTDEP;87,72305794;84,71723096
'060;Friuli Venezia Giulia;VOTDEP;84,59008071;80,77776962
'080;Emilia Romagna;VOTDEP;89,55786254;86,17932279
'090;Toscana;VOTDEP;87,44513434;83,70761362
'100;Umbria;VOTDEP;87,05867373;84,15259296
'110;Marche;VOTDEP;86,42500347;82,94375711
'120;Lazio;VOTDEP;84,83344815;81,27946776
'130;Abruzzo;VOTDEP;83,71279539;80,95366447
'140;Molise;VOTDEP;82,36325969;78,60019016
'150;Campania;VOTDEP;78,79148672;76,19679797
'160;Puglia;VOTDEP;79,36655527;76,20864226
'170;Basilicata;VOTDEP;80,28664188;75,37693449
'180;Calabria;VOTDEP;74,60393814;71,41321887
'190;Sicilia;VOTDEP;74,98938084;75,02136752
'200;Sardegna;VOTDEP;77,94075569;72,30062623
'001;Nord-Ovest;VOTDEP;81,91866469;82,82096276
'002;Nord-Est;VOTDEP;88,07132751;84,79448631
'003;Centro;VOTDEP;86,0392161;82,47972141
'004;Sud;VOTDEP;78,98249902;75,99827518
'005;Isole;VOTDEP;75,74105386;74,32768708
'006;Italia;VOTDEP;82,46462639;80,50973903
'010;Piemonte;VOTSEN;84,72901632;80,69756734
'020;Valle D'Aosta;VOTSEN;83,58951853;79,50317871
'030;Lombardia;VOTSEN;80,2301443;84,69431918
'070;Liguria;VOTSEN;83,38852255;77,96603612
'040;Trentino Alto Adige;VOTSEN;87,76390535;84,43379709
'021;Bolzano - Bozen;VOTSEN;88,13401074;84,98902856
'022;Trento;VOTSEN;87,42192095;83,91846987
'050;Veneto;VOTSEN;87,59605227;84,61779277
'060;Friuli Venezia Giulia;VOTSEN;84,4637918;80,71422184
'080;Emilia Romagna;VOTSEN;89,5023488;86,15519551
'090;Toscana;VOTSEN;87,24459595;83,53163054
'100;Umbria;VOTSEN;86,62759456;83,71045397
'110;Marche;VOTSEN;76,43998706;82,66264872
'120;Lazio;VOTSEN;84,53548908;81,09063523
'130;Abruzzo;VOTSEN;83,41323215;80,76398027
'140;Molise;VOTSEN;82,20667114;78,34827958
'150;Campania;VOTSEN;78,30865853;75,81058512
'160;Puglia;VOTSEN;96,71769195;76,31273495
'170;Basilicata;VOTSEN;80,39123754;75,76053907
'180;Calabria;VOTSEN;74,44304527;71,20302028
'190;Sicilia;VOTSEN;74,81284585;74,70077816
'200;Sardegna;VOTSEN;78,18891245;72,4876542
'001;Nord-Ovest;VOTSEN;81,88227191;82,79263178
'002;Nord-Est;VOTSEN;87,98829842;84,7535555
'003;Centro;VOTSEN;84,49544375;82,27103711
'004;Sud;VOTSEN;82,79218827;75,85015839
'005;Isole;VOTSEN;75,68284622;74,12819209
'006;Italia;VOTSEN;83,07976367;80,46745929
