"","Codice","Territorio.y","ACCLAV","COMP","DEL","DELVIOL","DENS","EXP","FAM4","IMP","INCAVG","INCFAM","INCMEDFAM","INTERNET","INVPIL","MAL","MORTSTRA","NETIMP-EXP","NUZ","OCC","OMI","OSP","PERSOGLAV","PILCAP","POP","POV","SCH2564","SEP","SPEINSTPIL","SPEMENFAM","STUDCLASS","UNEM","UNEM25","UNEMFAM","UNEMLT"
"1","'010","Piemonte",77.01913099,5.2,5191.131591,220.1823014,170.9178166,32017150.02,2.7,23507082.83,17631,28999,24282,15.5,22.22401687,37.7,2.994843316,8510067.191,3.731590694,48.78495864,0.738015465,116.4320873,58.62347395,23330.75883,4341733,8.1,49.41813669,1.838350397,2.903309732,2399.89,1,4.662093375,3.617934953,5.415958433,1.990536411
"2","'020","Valle D'Aosta",90.52458725,6.6,4003.305705,162.8545733,37.99230213,493316.157,2.9,287303.314,16537,28497,23073,18,23.37251812,30.2,3.430079156,206012.843,3.4110336,51.91491246,0,111.7700915,62.96581856,27533.41939,123978,6.6,53.77432699,1.822998955,3.665137315,2597.5,20.5604,3.24318025,2.764859006,4.484391598,0.791968108
"3","'030","Lombardia",78.38227623,4.8,5142.711895,190.1814759,397.0700002,85315438.06,4.6,111241534.9,18806,31549,25840,17.1,19.9852082,38.3,1.759763364,-25926096.8,3.696465616,51.96565406,0.794984433,148.0877921,62.91852327,27555.17539,9475202,4,47.40476152,1.534637949,2.348570061,2872.43,18.3887,4.087729232,3.305992987,4.039108385,1.370751101
"4","'040","Trentino-Alto Adige",89.95821344,5.5,3223.385131,119.4035334,72.39957609,5207850.759,7.8,4903218.907,17055,31159,27068,20.2,29.26865856,30.9,3.358208955,304631.852,3.716817682,54.46340276,0.204108604,145.8784605,61.65026409,26345.73869,985128,6.2,49.10434822,1.588985483,3.350055674,2912.1,21.0368,3.161444132,2.592692599,3.506618002,0.587054662
"5","'050","Veneto",72.65978649,6.4,4169.496018,150.7692676,257.5331067,40646614.5,6.8,32729518,16615,29411,24879,17.8,22.58302153,38.3,3.019915116,7917096.493,4.076173762,51.44051739,0.805232912,128.7758139,61.65562987,24775.11962,4738313,4.9,51.02557442,1.304689221,2.64946751,2736.09,18.9868,4.2395572,3.463138459,3.752815595,1.461976134
"6","'060","Friuli Venezia Giulia",80.17244673,3.9,3576.052343,136.0963715,153.756431,9643352.627,2.9,5235649,16778,28414,23935,13.3,22.55944121,37.2,3.33000997,4407703.627,3.727316581,47.98110469,0.497307082,111.9836088,57.59222834,23329.33012,1208278,8.8,47.12060805,1.641942216,2.964598471,2378.65,21.0014,4.117027807,3.644681181,5.858576281,1.279544768
"7","'070","Liguria",89.08168665,5.6,6087.789853,183.3600161,296.9877618,4232608.099,2.9,8412436.663,16387,25109,20994,13.3,17.33153942,39.4,1.113698491,-4179828.564,4.01443523,44.03700547,0.749427859,143.0689008,55.81505744,21261.27875,1610134,6.5,42.26738773,2.034696636,3.136939224,2245.72,19.5393,5.753850408,4.861449862,6.696171814,2.162773756
"8","'080","Emilia-Romagna",84.31957826,5.5,5618.709172,209.6433042,189.3336631,37333073.69,4.4,22483320.37,17647,31444,25626,15.8,21.02215946,41.6,2.618556701,14849753.32,3.435454398,51.82099159,0.67154931,153.0659943,63.07269468,26147.04706,4187557,2.9,46.80216497,1.461818944,2.676882759,2778.29,20.3437,3.810572724,3.309689814,3.411331396,1.097246354
"9","'090","Toscana",79.35568705,5.5,4790.984271,184.9229601,157.4301618,21824964.04,5,16870777.45,16892,29915,24364,14.9,17.21442688,37.1,1.712960772,4954186.589,4.091635229,47.99199668,0.803530992,125.9340875,58.7030956,23189.02067,3619872,5.1,50.21993596,1.563837559,3.243014311,2565.86,21.0123,5.25423787,4.446526522,4.231754714,1.728079789
"10","'100","Umbria",79.77386978,6.2,3936.840984,143.0378222,102.6340935,2826562.052,5.5,2336200.819,16724,28672,22602,16.4,20.65452312,40.7,2.771362587,490361.233,4.418536775,46.16657835,0.694920594,132.7170932,55.77241364,19902.34901,867878,8.2,41.80030865,1.32266553,3.913760545,2403.43,20.701,6.092914629,4.962527967,4.049853075,2.598276526
"11","'110","Marche",72.22838819,6.1,3295.129363,142.5389053,157.7057497,9524396.21,6.1,4867528.479,15904,29550,25191,14,19.66748102,36.6,2.079578539,4656867.731,3.850256711,48.29936316,0.328128235,134.2175733,56.93876467,21367.87959,1528809,5.3,46.98296236,1.326950583,3.669126179,2430.3,20.0141,4.68342992,3.804730556,3.374883991,1.717276163
"12","'120","Lazio",91.11793538,5.7,5409.773281,170.7652663,307.7736849,11076328.6,5.1,24769626.41,18460,29301,24030,16.4,18.16995204,37.1,1.821080385,-13693297.81,4.422043074,46.41037559,0.983474787,157.9182487,57.81109506,25480.53761,5304778,8,39.60782416,1.958249604,3.327092274,2441.39,20.7929,7.720724131,6.307623277,5.326812594,3.946136874
"13","'130","Abruzzo",87.77181412,6.7,3764.831092,173.0797952,121.2805139,6305542.371,7.8,3673087.702,15696,26853,22154,15.2,22.62001156,40.7,2.783547985,2632454.669,4.096631356,43.96123549,0.844666259,188.0849074,53.84504108,17507.62227,1305307,11.8,44.55066546,1.352233893,4.518930222,2162.39,20.8143,7.863279415,6.647595728,4.46131091,3.565128442
"14","'140","Molise",79.47764353,4.4,2338.611828,133.4660735,72.31413712,607298.67,6.8,357277.896,14698,23711,19368,10.4,24.58927601,36.6,5.253623188,250020.774,4.234203404,38.64059241,1.555548642,188.0938307,54.28796223,15696.25943,320907,20.4,49.71873336,0.986217839,5.127524717,2121.05,21.4857,10.07621756,8.239879507,6.234768038,5.220562773
"15","'150","Campania",80.79471815,3.7,3705.623055,381.4190346,426.1093991,7579182.021,13.1,8300424.869,15054,23573,19000,8.2,21.23686406,31.4,3.197775461,-721242.848,5.420074327,36.37951835,2.331623332,137.5315795,67.26884564,13624.96713,5790929,30.4,57.3941669,0.975136691,6.866175837,1867.63,20.7551,14.90488271,12.01249178,9.405169613,8.605363886
"16","'160","Puglia",93.95119292,3.6,3495.17211,179.7858271,210.3284964,6780961.858,9.5,6966487.812,14065,22933,18652,9.6,20.24879943,33.9,3.80952381,-185525.954,4.762592164,35.88055962,0.90912609,158.7469294,49.85076247,13834.63849,4071518,20.2,60.01175139,0.955565234,6.459086107,2059.56,21.835,14.62288209,12.04896201,8.518240558,7.836530551
"17","'170","Basilicata",75.10569553,4.1,1884.209395,121.9520389,59.4406385,1099784.314,8.4,694039.594,12862,21867,19086,13.1,28.38054034,36.7,6.411698538,405744.72,4.320394547,38.38127957,1.00786809,104.0808579,58.48484848,14681.81331,594086,25.5,50.94283922,0.755901068,6.115101076,2023.83,21.5081,12.25693442,10.04944804,6.728781468,6.582507646
"18","'180","Calabria",95.32343432,4,3498.333077,168.5733527,132.9139189,318754.972,10.2,612327.616,13822,22766,17396,8.8,24.19054489,40.9,4.15710278,-293572.644,4.619198875,35.67801619,3.637556827,136.3600464,56.14497658,13688.42369,2004415,26.1,52.53146688,0.729504547,6.604304979,1906.36,21.1212,14.38432082,11.36406437,9.232735498,8.438358444
"19","'190","Sicilia",91.37394749,3.3,3378.445675,188.2896143,195.1356986,7266995.166,8.5,18935721.06,14168,20960,16700,9.9,20.71335453,32.4,2.77546489,-11668725.89,4.849908173,35.18723244,1.415711385,142.9798711,54.91801774,14103.27897,5017212,34.5,58.57640507,1.190792732,6.795935529,1680.76,20.4256,16.22299208,12.86964972,11.25721315,9.414127411
"20","'200","Sardegna",92.94326576,5,3226.580279,150.8290607,68.72912247,3808136.906,10.4,6280045.918,15295,25494,22114,11.5,24.19456252,37.3,3.261937512,-2471909.012,4.043283645,41.84109751,1.512525679,149.5198185,43.36069846,16434.27519,1655677,18,60.64412034,1.154359598,4.692779771,2149,20.5467,12.93181311,10.77131977,7.813530344,6.926938898
